seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	PeakID	log2FoldChange	padj
chr18	14826876	14827390	515	*	peak_6651	-1.20546757134995	9.73483647719832e-20	Intron (ENST00000690538.1/374860, intron 32 of 43)	18	14830166	14830242	77	1	100422907	ENST00000581101.1	-2776	ENSG00000265499	MIR3156-2	microRNA 3156-2	NA	NA	NA
chr8	101854919	101855533	615	*	peak_13614	-1.26623984152625	4.53539067889603e-19	Intron (ENST00000311028.4/83988, intron 4 of 6)	8	101847256	101847360	105	2	124902079	ENST00000459507.1	-7559	ENSG00000238372	LOC124902079	small nucleolar RNA U13	NA	NA	NA
chr17	51651527	51652174	648	*	peak_5967	-1.014207123321	4.56032932373134e-19	Intron (ENST00000570565.5/56934, intron 5 of 8)	17	51661593	51747788	86196	2	56934	ENST00000575097.1	95614	ENSG00000154975	CA10	carbonic anhydrase 10	NA	NA	NA
chr4	33715933	33716435	503	*	peak_11392	-1.17653672259175	4.82836056247142e-19	Distal Intergenic	4	33850591	33892149	41559	1	105374392	ENST00000504795.5	-134156	NA	LOC105374392	uncharacterized LOC105374392	NA	NA	NA
chr8	121096558	121097013	456	*	peak_13665	-1.17014620993323	5.22802841890055e-19	Intron (ENST00000517739.1/ENST00000517739.1, intron 2 of 3)	8	121140049	121145077	5029	2	124902010	ENST00000721799.1	48064	ENSG00000294187	LOC124902010	uncharacterized LOC124902010	NA	NA	NA
chr14	72686098	72686557	460	*	peak_4017	-1.24995526197502	5.90153615822614e-19	Intron (ENST00000556509.6/8110, intron 7 of 10)	14	72671000	72679302	8303	2	8110	ENST00000556891.5	-6796	ENSG00000205683	DPF3	double PHD fingers 3	NA	NA	NA
chr1	191558222	191558690	469	*	peak_1095	-1.57750893498732	7.49734912967212e-19	Distal Intergenic	1	191823432	192010781	187350	1	107985457	ENST00000664489.1	-264742	NA	LINC02770	long intergenic non-protein coding RNA 2770	NA	NA	NA
chr5	41748676	41749040	365	*	peak_11710	-1.61033418368344	2.15210041022713e-18	Intron (ENST00000196371.10/5019, intron 15 of 16)	5	41731739	41739721	7983	2	5019	ENST00000503374.1	-8955	ENSG00000083720	OXCT1	3-oxoacid CoA-transferase 1	NA	NA	NA
chr9	77807160	77807540	381	*	peak_14411	-1.4340200907714	1.66725351744163e-17	Intron (ENST00000286548.9/2776, intron 3 of 6)	9	77423079	77648322	225244	2	9630	ENST00000341700.7	-158838	ENSG00000156049	GNA14	G protein subunit alpha 14	NA	NA	NA
chr7	64300491	64301327	837	*	peak_13051	-1.03672814848343	2.00966258336597e-17	Promoter (<=1kb)	7	64294505	64300605	6101	2	105375322	ENST00000752311.1	0	NA	LOC105375322	uncharacterized LOC105375322	NA	NA	NA
chr8	123579529	123580391	863	*	peak_13690	-1.08472553626877	2.49186985758043e-17	Distal Intergenic	8	123613874	123667251	53378	1	105375738	ENST00000836609.1	-33483	NA	LOC105375738	uncharacterized LOC105375738	NA	NA	NA
chr7	27975131	27975625	495	*	peak_12841	-1.04414883101151	7.00147359242861e-17	Intron (ENST00000427814.5/221895, intron 1 of 3)	7	27830573	27992056	161484	2	221895	ENST00000427814.5	16431	ENSG00000153814	JAZF1	JAZF zinc finger 1	NA	NA	NA
chr10	120017753	120018422	670	*	peak_2149	-1.19323843553513	7.44487148485441e-17	Distal Intergenic	10	119958513	119958592	80	1	100616322	ENST00000580643.1	59240	ENSG00000265370	MIR4682	microRNA 4682	NA	NA	NA
chr14	61643370	61643926	557	*	peak_3914	-1.01077323228508	1.13652702680429e-16	Intron (ENST00000556347.1/5583, intron 3 of 3)	14	61647420	61654002	6583	1	400221	ENST00000556717.3	-3494	ENSG00000232774	LINC03033	long intergenic non-protein coding RNA 3033	NA	NA	NA
chr1	117557684	117558222	539	*	peak_885	-1.29301986459789	1.15524274486475e-16	Distal Intergenic	1	117604624	117605685	1062	2	100996263	ENST00000456126.1	47463	ENSG00000236866	TENT5C-DT	TENT5C divergent transcript	NA	NA	NA
chr10	107972040	107972413	374	*	peak_2092	-1.42465615116038	1.20373854323929e-16	Intron (ENST00000630847.2/103695365, intron 2 of 5)	10	108040383	108040699	317	2	103695365	ENST00000622852.1	68286	ENSG00000229981	LINC01435	long intergenic non-protein coding RNA 1435	NA	NA	NA
chr2	126515466	126515831	366	*	peak_8282	-1.15796273873357	2.13550978040485e-16	Distal Intergenic	2	126656133	126658767	2635	1	2995	ENST00000484700.2	-140302	ENSG00000136732	GYPC	glycophorin C (Gerbich blood group)	NA	NA	NA
chr7	80763198	80763640	443	*	peak_13146	-1.31128782580026	4.39905283915404e-16	Intron (ENST00000265361.8/10512, intron 13 of 17)	7	80796389	80798238	1850	2	10512	ENST00000475955.1	34598	ENSG00000075223	SEMA3C	semaphorin 3C	NA	NA	NA
chr17	58044305	58044906	602	*	peak_6013	-1.05130338551645	6.39917295838943e-16	Distal Intergenic	17	58050789	58060739	9951	2	105371840	ENST00000649559.1	15833	NA	LOC105371840	uncharacterized LOC105371840	NA	NA	NA
chr3	198093224	198093570	347	*	peak_11262	-1.41411849886094	7.05295162506204e-16	Intron (ENST00000729657.1/ENST00000729657.1, intron 1 of 3)	3	198027975	198081921	53947	2	348840	ENST00000762503.1	-11303	ENSG00000232832	ANKRD18DP	ankyrin repeat domain 18D, pseudogene	NA	NA	NA
chr13	66505238	66505866	629	*	peak_3731	-1.36566746585428	1.43304657355686e-15	Intron (ENST00000377865.7/5101, intron 4 of 4)	13	66304604	66306309	1706	2	5101	ENST00000617020.1	-198929	ENSG00000184226	PCDH9	protocadherin 9	NA	NA	NA
chr6	159404475	159404960	486	*	peak_12590	-1.02633654441613	1.65220812598059e-15	Intron (ENST00000753126.1/105378084, intron 1 of 2)	6	159387004	159396443	9440	1	102724053	ENST00000654094.1	17471	ENSG00000234777	LINC02529	long intergenic non-protein coding RNA 2529	NA	NA	NA
chr8	32846974	32847417	444	*	peak_13447	-1.24500710802042	2.34262976362826e-15	Exon (ENST00000846031.1/ENST00000846031.1, exon 1 of 3)	8	32927913	33045445	117533	1	105379362	ENST00000659524.1	-80496	NA	LOC105379362	uncharacterized LOC105379362	NA	NA	NA
chr5	130715426	130715923	498	*	peak_11831	-1.09950594040831	2.83155086881901e-15	Intron (ENST00000661392.1/107986449, intron 4 of 5)	5	130668638	130817850	149213	2	107986449	ENST00000804527.1	101927	NA	LOC107986449	uncharacterized LOC107986449	NA	NA	NA
chr2	174743872	174744471	600	*	peak_8458	-1.27563228187389	3.23129813740277e-15	Intron (ENST00000842845.1/124906096, intron 3 of 3)	2	174747810	174764412	16603	2	1134	ENST00000409219.5	19941	ENSG00000138435	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	NA	NA	NA
chr18	14961995	14962385	391	*	peak_6654	-1.00534671265309	3.30890956865354e-15	Exon (ENST00000584531.1/400644, exon 2 of 4)	18	14964260	14970122	5863	2	101927642	ENST00000737862.1	7737	ENSG00000264301	LINC01444	long intergenic non-protein coding RNA 1444	NA	NA	NA
chr12	58529036	58529625	590	*	peak_3339	-1.42229901238201	4.14520844679609e-15	Intron (ENST00000849139.1/ENST00000849139.1, intron 1 of 1)	12	58544124	58813060	268937	1	100506869	ENST00000546977.5	-14499	ENSG00000258231	LOC100506869	uncharacterized LOC100506869	NA	NA	NA
chr3	8693951	8695292	1342	*	peak_10342	-1.21506158485162	5.31772207652121e-15	Intron (ENST00000435138.5/51066, intron 4 of 17)	3	8663741	8682079	18339	2	51066	ENST00000470009.1	-11872	ENSG00000125046	SSUH2	ssu-2 homolog	NA	NA	NA
chr2	126896523	126896899	377	*	peak_8299	-1.09823752489393	5.89871874386665e-15	Promoter (1-2kb)	2	126893547	126898804	5258	2	105373603	ENST00000843607.1	1905	NA	LOC105373603	uncharacterized LOC105373603	NA	NA	NA
chr21	27649302	27649708	407	*	peak_9441	-1.19051538129811	6.59965950417956e-15	Intron (ENST00000426418.2/105372763, intron 2 of 2)	21	27638703	27672208	33506	1	105372763	ENST00000764722.1	10599	ENSG00000234052	LINC01673	long intergenic non-protein coding RNA 1673	NA	NA	NA
chr7	50772989	50773309	321	*	peak_13001	-1.34971383516778	7.97376446713704e-15	Intron (ENST00000335866.7/2887, intron 1 of 16)	7	50761658	50779570	17913	2	2887	ENST00000492265.1	6261	ENSG00000106070	GRB10	growth factor receptor bound protein 10	NA	NA	NA
chr8	138605657	138606319	663	*	peak_13885	-1.02026393486232	9.24385834893232e-15	Intron (ENST00000341807.8/169044, intron 32 of 38)	8	138607938	138620620	12683	2	169044	ENST00000487854.1	14301	ENSG00000169436	COL22A1	collagen type XXII alpha 1 chain	NA	NA	NA
chr2	100440937	100441384	448	*	peak_8066	-1.39285458562668	1.51016358811462e-14	Distal Intergenic	2	100391860	100417668	25809	2	9486	ENST00000264249.8	-23269	ENSG00000115526	CHST10	carbohydrate sulfotransferase 10	NA	NA	NA
chr12	11014781	11015361	581	*	peak_3126	-1.23050039781565	1.8259780170771e-14	Intron (ENST00000536668.2/100533464, intron 3 of 9)	12	11021619	11022620	1002	2	259294	ENST00000390673.2	7259	ENSG00000212124	TAS2R19	taste 2 receptor member 19	NA	NA	NA
chr3	45023377	45024075	699	*	peak_10570	-1.07649179993045	1.8698224382909e-14	Intron (ENST00000481405.1/7123, intron 2 of 2)	3	45026303	45036071	9769	1	7123	ENST00000296130.5	-2228	ENSG00000163815	CLEC3B	C-type lectin domain family 3 member B	NA	NA	NA
chr2	201135290	201135704	415	*	peak_8485	-1.3564218411469	2.03525194865901e-14	Intron (ENST00000443227.5/8837, intron 2 of 8)	2	201133030	201136414	3385	1	8837	ENST00000460961.1	2260	ENSG00000003402	CFLAR	CASP8 and FADD like apoptosis regulator	NA	NA	NA
chr14	59521935	59522267	333	*	peak_3903	-1.33012127698098	2.99504366083078e-14	Intron (ENST00000554253.1/729665, intron 1 of 5)	14	59479274	59525437	46164	2	729665	ENST00000554253.1	3170	ENSG00000151838	CCDC175	coiled-coil domain containing 175	NA	NA	NA
chr2	150681321	150681748	428	*	peak_8426	-1.28752271841682	3.1410715710756e-14	Distal Intergenic	2	150631181	150634787	3607	1	101929282	ENST00000653799.1	50140	ENSG00000224048	LINC02612	long intergenic non-protein coding RNA 2612	NA	NA	NA
chr12	26164102	26164554	453	*	peak_3174	-1.12381663235266	3.24094396481366e-14	Intron (ENST00000538142.5/8082, intron 1 of 2)	12	26134967	26231146	96180	1	8082	ENST00000540266.5	29135	ENSG00000123096	SSPN	sarcospan	NA	NA	NA
chr2	233275706	233276179	474	*	peak_8614	-1.28596583245649	3.44774424935446e-14	Promoter (<=1kb)	2	233275727	233276002	276	1	677775	ENST00000516201.1	0	ENSG00000252010	SCARNA5	small Cajal body-specific RNA 5	NA	NA	NA
chr3	43423169	43423555	387	*	peak_10560	-1.30331654899197	3.69981207902119e-14	Intron (ENST00000468628.2/54861, intron 2 of 2)	3	43346923	43352152	5230	2	100873954	ENST00000607513.2	-71017	NA	SNRK-AS1	SNRK antisense RNA 1	NA	NA	NA
chr7	106468679	106469421	743	*	peak_13217	-1.34350214132585	5.39956631802433e-14	Intron (ENST00000848659.1/ENST00000848659.1, intron 1 of 1)	7	106569876	106598808	28933	2	102724339	ENST00000650160.1	129387	ENSG00000267052	CTB-30L5.1	uncharacterized CTB-30L5.1	NA	NA	NA
chr5	133627201	133627559	359	*	peak_11896	-1.17338755634299	5.57607179688678e-14	Distal Intergenic	5	133196455	133612541	416087	2	23105	ENST00000265342.12	-14660	ENSG00000053108	FSTL4	follistatin like 4	NA	NA	NA
chr8	2985187	2985805	619	*	peak_13301	-1.17450042278999	6.47527980416205e-14	Intron (ENST00000335551.11/64478, intron 41 of 55)	8	2999979	3043788	43810	2	64478	ENST00000519623.1	57983	ENSG00000183117	CSMD1	CUB and Sushi multiple domains 1	NA	NA	NA
chr12	12160746	12161092	347	*	peak_3134	-1.14765941688814	6.61552073282813e-14	Intron (ENST00000298566.2/79370, intron 5 of 6)	12	12125362	12135228	9867	2	4040	ENST00000540415.1	-25518	ENSG00000070018	LRP6	LDL receptor related protein 6	NA	NA	NA
chr5	61910416	61911088	673	*	peak_11749	-1.24499750929389	6.71333985723729e-14	Intron (ENST00000660195.1/ENST00000660195.1, intron 3 of 3)	5	61902617	61917270	14654	2	105378998	ENST00000777194.1	6182	ENSG00000289916	LOC105378998	uncharacterized LOC105378998	NA	NA	NA
chr7	44617224	44618034	811	*	peak_12935	-1.2746453076645	7.86993447018333e-14	Intron (ENST00000439616.6/4967, intron 1 of 19)	7	44606628	44708138	101511	1	4967	ENST00000444676.5	10596	ENSG00000105953	OGDH	oxoglutarate dehydrogenase	NA	NA	NA
chr12	27493244	27493897	654	*	peak_3184	-1.19849388206142	8.50255189796889e-14	Promoter (<=1kb)	12	27493836	27502147	8312	1	341346	ENST00000541168.1	0	ENSG00000165935	SMCO2	single-pass membrane protein with coiled-coil domains 2	NA	NA	NA
chr8	30327339	30327753	415	*	peak_13444	-1.36020729317461	8.67288725078533e-14	Intron (ENST00000739863.1/ENST00000739863.1, intron 1 of 1)	8	30382124	30384297	2174	2	100128750	ENST00000792133.1	56544	ENSG00000254109	RBPMS-AS1	RBPMS antisense RNA 1	NA	NA	NA
chr2	220224795	220225143	349	*	peak_8556	-1.19469513114765	9.40226758883426e-14	Intron (ENST00000830324.1/105373891, intron 4 of 5)	2	220316778	220450448	133671	1	105373893	ENST00000830450.1	-91635	NA	LOC105373893	uncharacterized LOC105373893	NA	NA	NA
chr14	76700763	76701347	585	*	peak_4054	-1.08298321562947	1.18042504707826e-13	Intron (ENST00000554926.1/105370577, intron 1 of 3)	14	76495363	76726712	231350	2	105370577	ENST00000554926.1	25365	NA	LOC105370577	uncharacterized LOC105370577	NA	NA	NA
chr3	73866811	73867348	538	*	peak_10831	-1.20051047319271	1.33242536990515e-13	Intron (ENST00000659853.1/105377165, intron 2 of 3)	3	73827456	73879625	52170	1	105377165	ENST00000756909.1	39355	NA	LINC02005	long intergenic non-protein coding RNA 2005	NA	NA	NA
chr2	156114893	156115471	579	*	peak_8429	-1.17989724813547	1.60104634405803e-13	Intron (ENST00000824378.1/101929378, intron 3 of 6)	2	156011617	156024613	12997	2	101929378	ENST00000448255.5	-90280	ENSG00000226383	LINC01876	long intergenic non-protein coding RNA 1876	NA	NA	NA
chr10	123790147	123790572	426	*	peak_2189	-1.35812774882081	1.76259196804595e-13	Intron (ENST00000368854.7/119587, intron 7 of 19)	10	123776670	123777749	1080	1	105378533	ENST00000446888.1	13477	NA	LOC105378533	uncharacterized LOC105378533	NA	NA	NA
chr12	9032598	9032867	270	*	peak_3119	-1.37583974042685	1.95631296043386e-13	Distal Intergenic	12	9055591	9064346	8756	2	253128	ENST00000839193.1	31479	ENSG00000214851	LINC00612	long intergenic non-protein coding RNA 612	NA	NA	NA
chr12	39230079	39230853	775	*	peak_3233	-1.23701604070695	2.3989598985512e-13	Distal Intergenic	12	39293228	39312826	19599	2	55605	ENST00000547733.1	81973	ENSG00000139116	KIF21A	kinesin family member 21A	NA	NA	NA
chr18	14767917	14768589	673	*	peak_6650	-1.14985167180532	2.42948645760681e-13	Intron (ENST00000579292.5/374860, intron 1 of 4)	18	14748335	14817089	68755	1	374860	ENST00000580206.1	19582	ENSG00000180777	ANKRD30B	ankyrin repeat domain 30B	NA	NA	NA
chr2	1323144	1324306	1163	*	peak_7355	-1.09991721653741	2.57252718117356e-13	Intron (ENST00000308624.10/54221, intron 16 of 16)	2	1353688	1367613	13926	1	54221	ENST00000472606.1	-29382	ENSG00000172554	SNTG2	syntrophin gamma 2	NA	NA	NA
chr1	98230421	98230787	367	*	peak_773	-1.43093253304805	2.79274663197219e-13	Intron (ENST00000776603.1/729987, intron 1 of 1)	1	98210747	98272658	61912	1	729987	ENST00000418344.1	19674	ENSG00000226053	LINC01776	long intergenic non-protein coding RNA 1776	NA	NA	NA
chr5	113922359	113922753	395	*	peak_11799	-1.13840265158717	3.36751914472226e-13	Distal Intergenic	5	114055926	114229386	173461	1	3781	ENST00000512927.2	-133173	ENSG00000080709	KCNN2	potassium calcium-activated channel subfamily N member 2	NA	NA	NA
chr17	71773821	71774248	428	*	peak_6153	-1.19651858350722	3.53062727035769e-13	Distal Intergenic	17	71829870	71871750	41881	2	107985015	ENST00000715471.1	97502	NA	LOC107985015	uncharacterized LOC107985015	NA	NA	NA
chr5	158830955	158831497	543	*	peak_12112	-1.24018031367468	3.95388052878334e-13	Intron (ENST00000519890.5/1879, intron 3 of 11)	5	158698641	158708009	9369	2	1879	ENST00000518323.1	-122946	ENSG00000164330	EBF1	EBF transcription factor 1	NA	NA	NA
chr5	21145247	21145731	485	*	peak_11673	-1.16285168290566	4.74699328725688e-13	Distal Intergenic	5	21048076	21116707	68632	2	105374678	ENST00000741983.1	-28540	NA	LOC105374678	uncharacterized LOC105374678	NA	NA	NA
chr8	111933306	111933781	476	*	peak_13638	-1.12075596918789	5.65411904836269e-13	Exon (ENST00000746111.1/ENST00000746111.1, exon 3 of 3)	8	111741975	111756822	14848	1	105375707	ENST00000650619.1	191331	ENSG00000253434	LOC105375707	uncharacterized LOC105375707	NA	NA	NA
chr16	17638124	17638564	441	*	peak_4924	-1.40313890076212	5.77426600307584e-13	Distal Intergenic	16	17471166	17481794	10629	2	105371106	ENST00000724331.1	-156330	NA	LOC105371106	uncharacterized LOC105371106	NA	NA	NA
chr10	119373260	119373680	421	*	peak_2142	-1.17171014608972	6.58105383580752e-13	Intron (ENST00000392870.3/2869, intron 2 of 15)	10	119377972	119378043	72	1	100616398	ENST00000580598.1	-4292	ENSG00000265719	MIR4681	microRNA 4681	NA	NA	NA
chr5	95632104	95632715	612	*	peak_11779	-1.07386906876311	7.3247372067438e-13	Distal Intergenic	5	95620087	95622142	2056	1	285601	ENST00000380007.3	12017	ENSG00000178015	GPR150	G protein-coupled receptor 150	NA	NA	NA
chr8	133139362	133139819	458	*	peak_13798	-1.17780787754863	9.27659398872875e-13	Distal Intergenic	8	133144236	133158349	14114	1	105375769	ENST00000766397.1	-4417	NA	LOC105375769	uncharacterized LOC105375769	NA	NA	NA
chr14	54369131	54369546	416	*	peak_3875	-1.21099309233518	9.31503762319466e-13	Intron (ENST00000770018.1/ENST00000770018.1, intron 3 of 3)	14	54396849	54417951	21103	1	1033	ENST00000555837.5	-27303	ENSG00000100526	CDKN3	cyclin dependent kinase inhibitor 3	NA	NA	NA
chr11	10969450	10969718	269	*	peak_2350	-1.53894230478853	9.36898003011572e-13	Intron (ENST00000837199.1/105379882, intron 2 of 4)	11	10931399	10933749	2351	1	105379882	ENST00000837560.1	38051	NA	LOC105379882	uncharacterized LOC105379882	NA	NA	NA
chr16	12857303	12857953	651	*	peak_4907	-1.05728703321142	1.24334102308747e-12	Distal Intergenic	16	12842487	12842610	124	2	124900378	ENST00000362604.1	-14693	ENSG00000199474	LOC124900378	small nucleolar RNA SNORA27	NA	NA	NA
chr16	9722045	9722501	457	*	peak_4834	-1.05542679528671	1.35697977380253e-12	Distal Intergenic	16	9764839	9769228	4390	2	2903	ENST00000463531.1	46727	ENSG00000183454	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	NA	NA	NA
chr2	178101309	178101669	361	*	peak_8463	-1.35037148622095	1.44098436886223e-12	Intron (ENST00000358450.8/50940, intron 2 of 20)	2	178092503	178104470	11968	2	50940	ENST00000504253.1	2801	ENSG00000128655	PDE11A	phosphodiesterase 11A	NA	NA	NA
chr18	76026167	76026970	804	*	peak_6746	-1.04317584386758	1.66545499361799e-12	Distal Intergenic	18	76050518	76052197	1680	2	124904339	ENST00000807360.1	25227	ENSG00000304954	LOC124904339	uncharacterized LOC124904339	NA	NA	NA
chr17	71543238	71543648	411	*	peak_6152	-1.19674565729278	1.70880159848826e-12	Intron (ENST00000722799.1/ENST00000722799.1, intron 1 of 1)	17	71829870	71871750	41881	2	107985015	ENST00000715471.1	328102	NA	LOC107985015	uncharacterized LOC107985015	NA	NA	NA
chr20	39168574	39169631	1058	*	peak_9057	-1.16258205009292	1.7387110264852e-12	Intron (ENST00000772862.1/107985448, intron 4 of 4)	20	39130958	39401661	270704	1	107985448	ENST00000772859.1	37616	NA	LOC107985448	uncharacterized LOC107985448	NA	NA	NA
chr12	34235656	34236252	597	*	peak_3228	-1.13340292710124	1.94702507413408e-12	Distal Intergenic	12	34191033	34219437	28405	2	123706542	ENST00000813262.1	-16219	ENSG00000255652	LINC02963	long intergenic non-protein coding RNA 2963	NA	NA	NA
chr5	80399458	80399916	459	*	peak_11775	-1.16990029364031	2.24692473333462e-12	Distal Intergenic	5	80408013	80479350	71338	1	9765	ENST00000338008.9	-8097	ENSG00000039319	ZFYVE16	zinc finger FYVE-type containing 16	NA	NA	NA
chr1	97231172	97231967	796	*	peak_772	-1.03710059303374	2.3364544160129e-12	Intron (ENST00000422980.1/100873932, intron 1 of 4)	1	97265446	97280208	14763	1	100873932	ENST00000629811.2	-33479	ENSG00000232878	DPYD-AS1	DPYD antisense RNA 1	NA	NA	NA
chr4	36651208	36651634	427	*	peak_11394	-1.0653924947784	2.60977022274208e-12	Distal Intergenic	4	36548331	36641939	93609	2	105374400	ENST00000655716.2	-9269	NA	LINC02505	long intergenic non-protein coding RNA 2505	NA	NA	NA
chr18	6221427	6222121	695	*	peak_6534	-1.43106510909068	2.61132357428811e-12	Intron (ENST00000400105.6/91133, intron 10 of 19)	18	6256747	6260934	4188	1	101927150	ENST00000578427.1	-34626	ENSG00000264707	L3MBTL4-AS1	L3MBTL4 antisense RNA 1	NA	NA	NA
chr1	29903661	29903973	313	*	peak_340	-1.13132963904298	3.1109536858323e-12	Distal Intergenic	1	30013952	30037612	23661	2	101929406	ENST00000445180.2	133639	ENSG00000233399	LINC01648	long intergenic non-protein coding RNA 1648	NA	NA	NA
chr14	83298043	83298498	456	*	peak_4080	-1.2288472253634	3.27199287388702e-12	Distal Intergenic	14	83018208	83043640	25433	2	105370600	ENST00000716915.1	-254403	ENSG00000258426	LOC105370600	uncharacterized LOC105370600	NA	NA	NA
chr8	24575255	24575877	623	*	peak_13406	-1.12281411072097	3.80678717095379e-12	Intron (ENST00000519689.1/101929294, intron 2 of 4)	8	24300885	24548618	247734	2	101929294	ENST00000523578.5	-26637	NA	ADAM7-AS1	ADAM7, ADAMDEC1 and ADAM28 antisense RNA 1	NA	NA	NA
chr19	35388609	35388968	360	*	peak_7064	-1.22018374271816	4.17250098615504e-12	Intron (ENST00000786315.1/101927522, intron 2 of 2)	19	35399455	35406906	7452	1	100128682	ENST00000786436.1	-10487	ENSG00000205786	LINC01531	long intergenic non-protein coding RNA 1531	NA	NA	NA
chr10	20963552	20964766	1215	*	peak_1363	-1.04759969817357	4.50548397368624e-12	Intron (ENST00000675700.1/10529, intron 3 of 6)	10	20859283	20960012	100730	2	10529	ENST00000674540.1	-3540	ENSG00000078114	NEBL	nebulette	NA	NA	NA
chr2	175238241	175238515	275	*	peak_8460	-1.56825075899	4.54143951598012e-12	Intron (ENST00000751365.1/ENST00000751365.1, intron 2 of 3)	2	175257362	175463180	205819	1	105373752	ENST00000653625.1	-18847	NA	LOC105373752	uncharacterized LOC105373752	NA	NA	NA
chr2	199772098	199772650	553	*	peak_8483	-1.37724849067098	4.61882252266702e-12	Intron (ENST00000416668.5/348751, intron 3 of 3)	2	199674925	199739984	65060	2	348751	ENST00000761471.1	-32114	ENSG00000226124	FTCDNL1	formiminotransferase cyclodeaminase N-terminal like	NA	NA	NA
chr12	65525582	65526080	499	*	peak_3343	-1.05805465882727	5.54711124323676e-12	Intron (ENST00000537250.5/100507065, intron 2 of 3)	12	65523263	65538699	15437	2	100507065	ENST00000538294.1	12619	NA	MSRB3-AS1	MSRB3 antisense RNA 1	NA	NA	NA
chr10	45160113	45160824	712	*	peak_1512	-1.13568900435305	5.5615273072395e-12	Intron (ENST00000745713.1/338579, intron 6 of 9)	10	45164014	45164088	75	1	100422988	ENST00000579389.1	-3190	ENSG00000263476	MIR3156-1	microRNA 3156-1	NA	NA	NA
chr3	168211072	168211496	425	*	peak_11141	-1.32515525211521	5.97559129345559e-12	Distal Intergenic	3	168249507	168315453	65947	1	93556	ENST00000502332.6	-38011	NA	EGFEM1P	EGF like and EMI domain containing 1, pseudogene	NA	NA	NA
chr16	80721158	80721653	496	*	peak_5311	-1.15109368326026	6.57092242349071e-12	Intron (ENST00000570137.7/124359, intron 1 of 6)	16	80684604	80735133	50530	2	124359	ENST00000562753.1	13480	ENSG00000166446	CDYL2	chromodomain Y like 2	NA	NA	NA
chr20	10733122	10733619	498	*	peak_8841	-1.04619750094324	7.499350595606e-12	Intron (ENST00000667822.1/ENST00000667822.1, intron 1 of 1)	20	10747145	10754033	6889	1	101929395	ENST00000654385.1	-13526	NA	LINC01752	long intergenic non-protein coding RNA 1752	NA	NA	NA
