seqnames	start	end	width	strand	V4	V5	V6	V7	V8	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	PeakID	log2FoldChange	padj	countsa	countsb
chr8	141329148	141331369	2222	*	peak_13979	1.87853536869473	1.60162809530704e-52	2186	454	Distal Intergenic	8	141340505	141344623	4119	1	731779	ENST00000521073.7	-9136	ENSG00000253595	LINC01300	long intergenic non-protein coding RNA 1300	NA	NA	NA	NA	NA
chr22	19869899	19875416	5518	*	peak_9667	1.29884879628597	2.85529648918642e-50	6852	2002	Distal Intergenic	22	19875692	19881154	5463	2	10587	ENST00000462843.2	5738	ENSG00000184470	TXNRD2	thioredoxin reductase 2	NA	NA	NA	NA	NA
chr17	63529590	63532485	2896	*	peak_6056	1.57617751918929	1.35487667350594e-48	3182	872	3' UTR	17	63523403	63546727	23325	1	81033	ENST00000583023.1	6187	ENSG00000173826	KCNH6	potassium voltage-gated channel subfamily H member 6	NA	NA	NA	NA	NA
chr22	19998664	20000718	2055	*	peak_9678	1.56582342884326	2.64836261854865e-48	2078	554	Intron (ENST00000263207.8/421, intron 2 of 19)	22	19971228	19990794	19567	2	421	ENST00000406259.1	-7870	ENSG00000099889	ARVCF	ARVCF delta catenin family member	NA	NA	NA	NA	NA
chr8	143524196	143530757	6562	*	peak_14218	1.53829726085408	1.17450903753674e-47	7102	1708	Intron (ENST00000262577.6/23144, intron 3 of 11)	8	143437659	143541447	103789	2	23144	ENST00000262577.6	10690	ENSG00000014164	ZC3H3	zinc finger CCCH-type containing 3	NA	NA	NA	NA	NA
chr10	72327919	72330275	2357	*	peak_1796	1.56489532989679	2.97123017429587e-47	2006	540	Distal Intergenic	10	72335557	72336865	1309	2	54788	ENST00000473051.1	6590	ENSG00000148719	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	NA	NA	NA	NA	NA
chr8	142378522	142380703	2182	*	peak_14126	1.55624926855807	1.56137375704268e-45	2514	682	Intron (ENST00000524325.6/203062, intron 1 of 13)	8	142344260	142402888	58629	2	203062	ENST00000520462.5	22185	ENSG00000171045	TSNARE1	t-SNARE domain containing 1	NA	NA	NA	NA	NA
chr17	79104945	79106579	1635	*	peak_6338	2.00833247446997	1.81431266797294e-45	1530	284	Intron (ENST00000583458.5/146713, intron 5 of 13)	17	79090847	79100410	9564	2	146713	ENST00000578998.1	-4535	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	NA	NA	NA	NA	NA
chr22	23834609	23838213	3605	*	peak_9829	1.78657880430175	1.88811685612455e-45	2446	536	Promoter (<=1kb)	22	23834503	23836514	2012	2	91319	ENST00000464023.1	0	ENSG00000099958	DERL3	derlin 3	NA	NA	NA	NA	NA
chr8	143808427	143814650	6224	*	peak_14228	1.36030276883749	2.71856121643758e-45	5990	1740	Promoter (<=1kb)	8	143812957	143813042	86	2	100126338	ENST00000401271.1	0	ENSG00000284224	MIR937	microRNA 937	NA	NA	NA	NA	NA
chr16	20610006	20615254	5249	*	peak_4934	1.58818648706395	2.73590464544125e-45	5042	1262	Promoter (<=1kb)	16	20610243	20775920	165678	1	6296	ENST00000568235.5	0	ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3	NA	NA	NA	NA	NA
chr8	141976667	141978819	2153	*	peak_14074	1.45565417946319	3.24205860156747e-44	2424	732	Distal Intergenic	8	141992087	141997552	5466	1	124902047	ENST00000722295.1	-13268	ENSG00000294265	LOC124902047	uncharacterized LOC124902047	NA	NA	NA	NA	NA
chr18	14501740	14502863	1124	*	peak_6647	2.26191492836492	7.38809488487949e-44	748	120	Distal Intergenic	18	14492906	14499415	6510	2	440224	ENST00000740705.1	-2325	ENSG00000293262	CXADRP3	CXADR pseudogene 3	NA	NA	NA	NA	NA
chr2	20989565	20990462	898	*	peak_7590	2.00916375196407	3.3499802489085e-43	906	192	Distal Intergenic	2	21024170	21043962	19793	2	338	ENST00000399256.4	53500	ENSG00000084674	APOB	apolipoprotein B	NA	NA	NA	NA	NA
chr22	35335020	35337057	2038	*	peak_9996	1.36442511423468	1.29624912174611e-42	3012	926	Promoter (<=1kb)	22	35335640	35335758	119	1	100500826	ENST00000579518.1	0	ENSG00000266320	MIR3909	microRNA 3909	NA	NA	NA	NA	NA
chr20	63427566	63431352	3787	*	peak_9405	1.50181633431034	1.33060302425447e-42	3904	972	3' UTR	20	63428367	63433476	5110	2	3785	ENST00000636638.1	2124	ENSG00000075043	KCNQ2	potassium voltage-gated channel subfamily Q member 2	NA	NA	NA	NA	NA
chr3	52034357	52039470	5114	*	peak_10748	1.16543686973746	2.58668526389212e-42	5274	1828	Distal Intergenic	3	52046763	52048657	1895	1	124906238	ENST00000648932.1	-7293	NA	LOC124906238	uncharacterized LOC124906238	NA	NA	NA	NA	NA
chr11	61778467	61782157	3691	*	peak_2538	1.32122168225387	3.53092742684825e-42	2508	774	Promoter (<=1kb)	11	61778829	61781045	2217	1	745	ENST00000536352.5	0	ENSG00000124920	MYRF	myelin regulatory factor	NA	NA	NA	NA	NA
chr9	93034916	93038611	3696	*	peak_14491	1.5239173790019	3.53092742684825e-42	2402	714	3' UTR	9	93029874	93034619	4746	1	89846	ENST00000488407.1	5042	ENSG00000127084	FGD3	FYVE, RhoGEF and PH domain containing 3	NA	NA	NA	NA	NA
chr17	81526670	81529758	3089	*	peak_6452	1.61801926508317	6.56810787966622e-42	2988	716	Promoter (<=1kb)	17	81528377	81537130	8754	1	25794	ENST00000417245.7	0	ENSG00000186765	FSCN2	fascin actin-bundling protein 2, retinal	NA	NA	NA	NA	NA
chr20	32449612	32451891	2280	*	peak_8987	1.4544185601914	7.88072617129556e-42	1868	548	Exon (ENST00000442179.1/ENST00000442179.1, exon 1 of 4)	20	32432359	32434636	2278	1	171023	ENST00000644168.1	17253	ENSG00000171456	ASXL1	ASXL transcriptional regulator 1	NA	NA	NA	NA	NA
chr22	19525762	19527600	1839	*	peak_9645	1.88649098883834	1.02172676816346e-41	1684	346	Promoter (<=1kb)	22	19523024	19527545	4522	2	7122	ENST00000406028.1	0	ENSG00000184113	CLDN5	claudin 5	NA	NA	NA	NA	NA
chr12	171768	174551	2784	*	peak_2959	1.60634961085388	1.28985524352688e-41	2572	658	Intron (ENST00000538872.6/440073, intron 13 of 13)	12	169055	175359	6305	1	440073	ENST00000537151.1	2713	ENSG00000120645	IQSEC3	IQ motif and Sec7 domain ArfGEF 3	NA	NA	NA	NA	NA
chr8	143147644	143149572	1929	*	peak_14196	1.58926416051225	1.0782062922034e-40	1658	476	Distal Intergenic	8	143157914	143160040	2127	2	4062	ENST00000430474.6	10468	ENSG00000176956	LY6H	lymphocyte antigen 6 family member H	NA	NA	NA	NA	NA
chr17	75569823	75572325	2503	*	peak_6277	1.65405620033371	3.21417332175782e-40	1700	422	Promoter (<=1kb)	17	75571425	75573253	1829	1	3993	ENST00000579092.1	0	ENSG00000073350	LLGL2	LLGL scribble cell polarity complex component 2	NA	NA	NA	NA	NA
chr12	47980184	47984789	4606	*	peak_3251	1.32946291847612	5.50775128586783e-40	2760	908	Promoter (<=1kb)	12	47981343	47983855	2513	2	1280	ENST00000483376.1	0	ENSG00000139219	COL2A1	collagen type II alpha 1 chain	NA	NA	NA	NA	NA
chr3	51962327	51963407	1081	*	peak_10744	1.80938530420787	8.08041739901408e-40	974	204	Promoter (<=1kb)	3	51957456	51962892	5437	2	57060	ENST00000322099.11	0	ENSG00000090097	PCBP4	poly(rC) binding protein 4	NA	NA	NA	NA	NA
chr7	2643392	2645829	2438	*	peak_12775	1.35946130466282	8.23554940515029e-40	1922	578	Promoter (<=1kb)	7	2645532	2647176	1645	1	80727	ENST00000400376.2	0	ENSG00000136295	TTYH3	tweety family member 3	NA	NA	NA	NA	NA
chr17	79100630	79102805	2176	*	peak_6337	1.91157670753329	1.27539125003419e-39	1604	326	Promoter (<=1kb)	17	79090847	79100410	9564	2	146713	ENST00000578998.1	-220	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	NA	NA	NA	NA	NA
chr22	24117609	24120412	2804	*	peak_9836	1.26461631628477	7.47625999666129e-39	2346	730	Exon (ENST00000263119.10/23523, exon 28 of 37)	22	24098113	24119606	21494	1	23523	ENST00000467937.1	19496	ENSG00000099991	CABIN1	calcineurin binding protein 1	NA	NA	NA	NA	NA
chr17	79807351	79809757	2407	*	peak_6392	1.50275564623152	8.32431471481701e-39	1982	604	Promoter (<=1kb)	17	79809013	79812476	3464	1	124904071	ENST00000736272.1	0	NA	LOC124904071	uncharacterized LOC124904071	NA	NA	NA	NA	NA
chr10	70321222	70325123	3902	*	peak_1691	1.17860094548401	9.08380012643669e-39	3374	1184	Exon (ENST00000395011.5/55222, exon 3 of 4)	10	70247329	70284004	36676	2	64106	ENST00000277942.7	-37218	ENSG00000148734	NPFFR1	neuropeptide FF receptor 1	NA	NA	NA	NA	NA
chr8	142818699	142821710	3012	*	peak_14171	1.70223958143008	1.22123961035294e-38	2426	632	Distal Intergenic	8	142834247	142916506	82260	1	2765	ENST00000522728.5	-12537	ENSG00000104499	GML	glycosylphosphatidylinositol anchored molecule like	NA	NA	NA	NA	NA
chr3	49896112	49899531	3420	*	peak_10680	1.25504967719118	1.36432111937384e-38	3142	1058	Promoter (<=1kb)	3	49895431	49896138	708	2	4486	ENST00000467110.1	0	ENSG00000164078	MST1R	macrophage stimulating 1 receptor	NA	NA	NA	NA	NA
chr8	142088727	142094737	6011	*	peak_14091	1.12534072771148	1.42075130632925e-38	7858	2630	Exon (ENST00000769616.1/ENST00000769616.1, exon 1 of 3)	8	142176339	142176418	80	1	100616268	ENST00000584349.1	-81602	ENSG00000265247	MIR4472-1	microRNA 4472-1	NA	NA	NA	NA	NA
chr17	19010890	19013081	2192	*	peak_5598	1.88463303493912	3.05996521845516e-38	1080	248	Intron (ENST00000317977.10/125206, intron 8 of 14)	17	19017641	19019729	2089	1	125206	ENST00000584658.1	-4560	ENSG00000154025	SLC5A10	solute carrier family 5 member 10	NA	NA	NA	NA	NA
chr8	142525340	142528110	2771	*	peak_14147	1.47011696707913	6.66444462892195e-38	2542	790	Exon (ENST00000643448.1/575, exon 24 of 31)	8	142543501	142544684	1184	1	575	ENST00000518812.1	-15391	ENSG00000181790	ADGRB1	adhesion G protein-coupled receptor B1	NA	NA	NA	NA	NA
chr2	113181122	113183419	2298	*	peak_8177	1.30427956125914	6.93972179925333e-37	2160	674	Promoter (1-2kb)	2	113185044	113201566	16523	1	23550	ENST00000409656.5	-1625	ENSG00000125637	PSD4	pleckstrin and Sec7 domain containing 4	NA	NA	NA	NA	NA
chr2	96108143	96111401	3259	*	peak_8016	1.36234973756825	1.11887018868344e-36	2164	696	Distal Intergenic	2	96112876	96116571	3696	2	151	ENST00000620793.2	5170	ENSG00000274286	ADRA2B	adrenoceptor alpha 2B	NA	NA	NA	NA	NA
chr22	19740886	19743004	2119	*	peak_9659	1.36857650001493	1.16778751615708e-36	2374	784	Distal Intergenic	22	19732437	19735109	2673	1	105372861	ENST00000757764.1	8449	NA	LOC105372861	uncharacterized LOC105372861	NA	NA	NA	NA	NA
chr20	33275428	33277047	1620	*	peak_9015	1.39147266419282	1.22711944624243e-36	1592	466	Promoter (1-2kb)	20	33273480	33291033	17554	1	92747	ENST00000423645.5	1948	ENSG00000125999	BPIFB1	BPI fold containing family B member 1	NA	NA	NA	NA	NA
chr8	142346589	142347675	1087	*	peak_14125	1.53897987629159	1.73614336331347e-36	1544	382	Intron (ENST00000524325.6/203062, intron 2 of 13)	8	142212081	142354724	142644	2	203062	ENST00000662555.2	7049	ENSG00000171045	TSNARE1	t-SNARE domain containing 1	NA	NA	NA	NA	NA
chr2	130759881	130762188	2308	*	peak_8374	1.29051947863383	3.72027045653847e-36	2198	724	5' UTR	2	130756291	130764658	8368	1	205147	ENST00000458606.6	3590	ENSG00000178171	AMER3	APC membrane recruitment protein 3	NA	NA	NA	NA	NA
chr22	23262903	23264869	1967	*	peak_9813	1.35542209556627	4.13597191319712e-36	1896	604	Promoter (<=1kb)	22	23262767	23265005	2239	1	26226	ENST00000426721.2	136	ENSG00000230701	FBXW4P1	F-box and WD repeat domain containing 4 pseudogene 1	NA	NA	NA	NA	NA
chr12	2616192	2617800	1609	*	peak_3004	1.95933258159219	6.5158414409466e-36	1526	298	Intron (ENST00000682544.1/775, intron 30 of 49)	12	2607880	2644488	36609	1	775	ENST00000496818.3	8312	ENSG00000151067	CACNA1C	calcium voltage-gated channel subunit alpha1 C	NA	NA	NA	NA	NA
chr17	79156336	79158296	1961	*	peak_6343	1.34685521494814	9.25466581133321e-36	1742	532	Intron (ENST00000583458.5/146713, intron 3 of 13)	17	79115698	79183472	67775	2	146713	ENST00000580508.1	25176	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	NA	NA	NA	NA	NA
chr9	133442071	133443847	1777	*	peak_14667	1.86663350735866	3.55554608483404e-35	822	160	3' UTR	9	133455648	133459386	3739	1	11093	ENST00000371910.1	-11801	ENSG00000160323	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	NA	NA	NA	NA	NA
chr22	19385340	19387270	1931	*	peak_9640	1.39545090870239	2.07220194217452e-34	2042	620	3' UTR	22	19398061	19430263	32203	2	7290	ENST00000464189.5	42993	ENSG00000100084	HIRA	histone cell cycle regulator	NA	NA	NA	NA	NA
chr22	20578324	20586769	8446	*	peak_9714	1.04239003508076	2.69202368568144e-34	7410	2716	Promoter (<=1kb)	22	20581901	20587632	5732	1	51586	ENST00000473244.5	0	ENSG00000099917	MED15	mediator complex subunit 15	NA	NA	NA	NA	NA
chr6	43874302	43876582	2281	*	peak_12421	1.60478585378647	3.05100252443535e-34	1614	446	Promoter (<=1kb)	6	43874401	43904495	30095	1	105375070	ENST00000719554.1	0	ENSG00000283573	LOC105375070	uncharacterized LOC105375070	NA	NA	NA	NA	NA
chr8	142747383	142757864	10482	*	peak_14166	1.16403015272206	6.22601161377254e-34	11614	4350	Promoter (<=1kb)	8	142753099	142766427	13329	1	124902033	ENST00000839251.1	0	ENSG00000253196	LOC124902033	uncharacterized LOC124902033	NA	NA	NA	NA	NA
chr3	48417347	48420329	2983	*	peak_10631	1.26608823772597	6.51665123677707e-34	2588	834	Promoter (<=1kb)	3	48418189	48419744	1556	2	5364	ENST00000484485.5	0	ENSG00000164050	PLXNB1	plexin B1	NA	NA	NA	NA	NA
chr8	141408754	141415605	6852	*	peak_13989	1.16638086345688	1.23108789932062e-33	9646	3320	Promoter (<=1kb)	8	141413418	141432415	18998	1	11156	ENST00000329397.6	0	ENSG00000184489	PTP4A3	protein tyrosine phosphatase 4A3	NA	NA	NA	NA	NA
chr17	74340592	74346576	5985	*	peak_6226	1.07836532880646	1.95736156899799e-33	8082	2866	Exon (ENST00000551294.5/124602, exon 3 of 13)	17	74348590	74350481	1892	1	124602	ENST00000549637.1	-2014	ENSG00000196169	KIF19	kinesin family member 19	NA	NA	NA	NA	NA
chr2	27037468	27039252	1785	*	peak_7673	1.51162867370873	2.11027075056329e-33	1804	466	Promoter (<=1kb)	2	27037875	27040492	2618	1	54867	ENST00000444135.5	0	ENSG00000119777	TMEM214	transmembrane protein 214	NA	NA	NA	NA	NA
chr20	63243166	63244965	1800	*	peak_9391	1.31266567937971	3.09042050653459e-33	2104	672	Exon (ENST00000370313.5/128414, exon 5 of 6)	20	63241277	63247151	5875	2	128414	ENST00000470246.1	2186	ENSG00000101198	NKAIN4	sodium/potassium transporting ATPase interacting 4	NA	NA	NA	NA	NA
chr10	69737912	69738750	839	*	peak_1670	1.98292157169712	5.35578063589883e-33	806	178	Distal Intergenic	10	69684899	69692452	7554	1	105378346	ENST00000434931.2	53013	NA	LINC02651	long intergenic non-protein coding RNA 2651	NA	NA	NA	NA	NA
chr22	45014111	45015112	1002	*	peak_10210	1.52825381891716	5.54723268244456e-33	992	272	Distal Intergenic	22	44881162	45010005	128844	2	112885	ENST00000629843.3	-4106	ENSG00000056487	PHF21B	PHD finger protein 21B	NA	NA	NA	NA	NA
chr8	141666615	141672416	5802	*	peak_14028	1.06643839122912	7.84230021083167e-33	7036	2578	Distal Intergenic	8	141727161	141730394	3234	2	124902074	ENST00000751608.1	57978	NA	LOC124902074	uncharacterized LOC124902074	NA	NA	NA	NA	NA
chr14	73745813	73747440	1628	*	peak_4029	1.37133164627743	9.22675447253329e-33	1698	518	Exon (ENST00000747819.1/124903345, exon 3 of 3)	14	73740836	73747672	6837	1	124903345	ENST00000747819.1	4977	NA	LOC124903345	uncharacterized LOC124903345	NA	NA	NA	NA	NA
chr22	49946641	49960800	14160	*	peak_10288	1.15528475573965	3.06831624132578e-32	10672	3438	Promoter (<=1kb)	22	49960768	49961646	879	1	415116	ENST00000467480.1	0	ENSG00000198355	PIM3	Pim-3 proto-oncogene, serine/threonine kinase	NA	NA	NA	NA	NA
chr17	61334845	61335665	821	*	peak_6039	1.49216715278685	4.41022105517687e-32	1184	368	Intron (ENST00000407086.8/54828, intron 22 of 23)	17	61393453	61394141	689	2	103689912	ENST00000592377.2	58476	ENSG00000267280	TBX2-AS1	TBX2 antisense RNA 1	NA	NA	NA	NA	NA
chr8	144532047	144535246	3200	*	peak_14259	1.23257406119186	5.51668668735704e-32	3574	1222	Exon (ENST00000276826.5/80728, exon 6 of 10)	8	144526252	144529132	2881	2	414919	ENST00000534680.5	-2915	ENSG00000213563	C8orf82	chromosome 8 open reading frame 82	NA	NA	NA	NA	NA
chr8	141611487	141613260	1774	*	peak_14018	1.24398616569312	6.26171521079079e-32	2558	794	Exon (ENST00000673717.1/ENST00000673717.1, exon 3 of 9)	8	141514671	141518729	4059	1	122455339	ENST00000643770.2	96816	ENSG00000226490	C8orf90	chromosome 8 open reading frame 90	NA	NA	NA	NA	NA
chr1	22150548	22151133	586	*	peak_198	2.32874399676312	7.17241643175601e-32	404	60	Intron (ENST00000648968.1/105376845, intron 1 of 4)	1	22127474	22143969	16496	2	54361	ENST00000441048.1	-6579	ENSG00000162552	WNT4	Wnt family member 4	NA	NA	NA	NA	NA
chr16	2928720	2930930	2211	*	peak_4740	1.38920826079108	7.99819549575706e-32	1846	532	Promoter (<=1kb)	16	2930797	2940163	9367	1	84256	ENST00000573564.5	0	ENSG00000059122	FLYWCH1	FLYWCH-type zinc finger 1	NA	NA	NA	NA	NA
chr22	23832256	23834244	1989	*	peak_9828	1.46808786608855	8.2926942095791e-32	1284	362	3' UTR	22	23834503	23836514	2012	2	91319	ENST00000464023.1	2270	ENSG00000099958	DERL3	derlin 3	NA	NA	NA	NA	NA
chr17	74647549	74648929	1381	*	peak_6257	1.25740681641342	1.64118179308466e-31	2094	706	Distal Intergenic	17	74670578	74747334	76757	1	326624	ENST00000340415.7	-21649	ENSG00000172794	RAB37	RAB37, member RAS oncogene family	NA	NA	NA	NA	NA
chr1	16718173	16720009	1837	*	peak_149	1.52818481033525	2.14714606532991e-31	1170	328	Promoter (<=1kb)	1	16691214	16720157	28944	2	284729	ENST00000270691.10	148	NA	ESPNP	espin pseudogene	NA	NA	NA	NA	NA
chr22	44199818	44202410	2593	*	peak_10183	1.22499082593205	2.96346707631118e-31	1724	578	Intron (ENST00000422871.5/64098, intron 12 of 13)	22	44196098	44219533	23436	1	64098	ENST00000472551.1	3720	ENSG00000138964	PARVG	parvin gamma	NA	NA	NA	NA	NA
chr17	21378426	21381512	3087	*	peak_5625	1.26036993660731	2.97450998329267e-31	1812	616	Intron (ENST00000583088.6/3768, intron 1 of 2)	17	21376357	21419870	43514	1	3768	ENST00000583088.6	2069	ENSG00000184185	KCNJ12	potassium inwardly rectifying channel subfamily J member 12	NA	NA	NA	NA	NA
chr17	50035189	50038252	3064	*	peak_5914	1.18197698275693	4.04868767141691e-31	2970	970	Distal Intergenic	17	50052042	50055696	3655	2	284080	ENST00000826200.1	17444	ENSG00000246640	PICART1	p53 inducible cancer associated RNA transcript 1	NA	NA	NA	NA	NA
chr17	17126371	17128674	2304	*	peak_5553	1.13987591941957	4.67878620011669e-31	2260	748	Exon (ENST00000651222.2/23164, exon 4 of 24)	17	17131617	17138419	6803	1	23164	ENST00000584936.2	-2943	ENSG00000133030	MPRIP	myosin phosphatase Rho interacting protein	NA	NA	NA	NA	NA
chr15	66848272	66849834	1563	*	peak_4365	1.59504405354183	6.88787734282027e-31	1382	396	Distal Intergenic	15	66931508	66932207	700	2	102723481	ENST00000733463.1	82373	ENSG00000259289	SMASR	SMAD3 associated long non-coding RNA	NA	NA	NA	NA	NA
chr3	49714314	49716845	2532	*	peak_10675	1.15951289045908	1.05251276277492e-30	2106	710	Promoter (<=1kb)	3	49713527	49715889	2363	1	63891	ENST00000444689.1	787	ENSG00000164068	RNF123	ring finger protein 123	NA	NA	NA	NA	NA
chr17	58526598	58528459	1862	*	peak_6026	1.46730942193448	1.60179780428711e-30	2132	674	Promoter (<=1kb)	17	58520250	58527144	6895	2	5414	ENST00000393086.5	0	ENSG00000108387	SEPTIN4	septin 4	NA	NA	NA	NA	NA
chr3	50602100	50605576	3477	*	peak_10728	1.14275304393599	1.61843662454695e-30	2558	868	Distal Intergenic	3	50611520	50613900	2381	1	7867	ENST00000486712.5	-5944	ENSG00000114738	MAPKAPK3	MAPK activated protein kinase 3	NA	NA	NA	NA	NA
chr20	32892884	32895286	2403	*	peak_9001	1.26555935091982	1.81576279374735e-30	2386	842	Exon (ENST00000400522.9/388795, exon 9 of 27)	20	32898385	32903670	5286	1	388795	ENST00000533479.1	-3099	ENSG00000215529	EFCAB8	EF-hand calcium binding domain 8	NA	NA	NA	NA	NA
chr10	79378889	79381179	2291	*	peak_1901	1.21908925478623	1.96281271016584e-30	2460	864	Distal Intergenic	10	79347658	79354086	6429	1	10105	ENST00000448165.1	31231	ENSG00000108179	PPIF	peptidylprolyl isomerase F	NA	NA	NA	NA	NA
chr10	71259486	71261903	2418	*	peak_1739	1.20284798649764	2.22757263151966e-30	2584	956	Intron (ENST00000335350.10/219699, intron 1 of 16)	10	71246418	71251602	5185	1	112268061	ENST00000826306.1	13068	NA	LOC112268061	uncharacterized LOC112268061	NA	NA	NA	NA	NA
chr3	52032571	52033909	1339	*	peak_10747	1.67115173504291	3.02973069843989e-30	1232	310	Distal Intergenic	3	52046763	52048657	1895	1	124906238	ENST00000648932.1	-12854	NA	LOC124906238	uncharacterized LOC124906238	NA	NA	NA	NA	NA
chr17	79319384	79319963	580	*	peak_6352	2.30153965470747	3.32642964657068e-30	796	118	Intron (ENST00000583458.5/146713, intron 1 of 13)	17	79298204	79307827	9624	2	146713	ENST00000582344.1	-11557	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	NA	NA	NA	NA	NA
chr17	81312614	81316107	3494	*	peak_6442	1.14994018168991	3.72918372037687e-30	3130	1054	Promoter (1-2kb)	17	81304597	81311237	6641	2	284185	ENST00000577000.2	-1377	NA	LINC00482	long intergenic non-protein coding RNA 482	NA	NA	NA	NA	NA
chr3	13066346	13068402	2057	*	peak_10399	1.364408765944	4.01299104875791e-30	1314	410	Intron (ENST00000613206.2/9922, intron 1 of 13)	3	12897043	13073429	176387	2	9922	ENST00000613206.2	5027	ENSG00000144711	IQSEC1	IQ motif and Sec7 domain ArfGEF 1	NA	NA	NA	NA	NA
chr3	126549793	126551808	2016	*	peak_10961	1.12984037845771	4.01299104875791e-30	2520	906	3' UTR	3	126549692	126558932	9241	2	152065	ENST00000318225.3	7124	ENSG00000180697	C3orf22	chromosome 3 open reading frame 22	NA	NA	NA	NA	NA
chr11	64061942	64063180	1239	*	peak_2568	1.78431927853974	4.02367849528327e-30	856	204	Promoter (1-2kb)	11	64060424	64103513	43090	1	23769	ENST00000538550.1	1518	ENSG00000126500	FLRT1	fibronectin leucine rich transmembrane protein 1	NA	NA	NA	NA	NA
