Geneid	Chr	Start	End	Strand	log2FoldChange	padj	countsa	countsb
peak_14091	chr8	142088726	142094737	.	1.12534072771148	1.42075130632925e-38	7858	2630
peak_5598	chr17	19010889	19013081	.	1.88463303493912	3.05996521845516e-38	1080	248
peak_14147	chr8	142525339	142528110	.	1.47011696707913	6.66444462892195e-38	2542	790
peak_8177	chr2	113181121	113183419	.	1.30427956125914	6.93972179925333e-37	2160	674
peak_8016	chr2	96108142	96111401	.	1.36234973756825	1.11887018868344e-36	2164	696
peak_9659	chr22	19740885	19743004	.	1.36857650001493	1.16778751615708e-36	2374	784
peak_9015	chr20	33275427	33277047	.	1.39147266419282	1.22711944624243e-36	1592	466
peak_14125	chr8	142346588	142347675	.	1.53897987629159	1.73614336331347e-36	1544	382
peak_8374	chr2	130759880	130762188	.	1.29051947863383	3.72027045653847e-36	2198	724
peak_9813	chr22	23262902	23264869	.	1.35542209556627	4.13597191319712e-36	1896	604
peak_3004	chr12	2616191	2617800	.	1.95933258159219	6.5158414409466e-36	1526	298
peak_6343	chr17	79156335	79158296	.	1.34685521494814	9.25466581133321e-36	1742	532
peak_14667	chr9	133442070	133443847	.	1.86663350735866	3.55554608483404e-35	822	160
peak_9640	chr22	19385339	19387270	.	1.39545090870239	2.07220194217452e-34	2042	620
peak_9714	chr22	20578323	20586769	.	1.04239003508076	2.69202368568144e-34	7410	2716
peak_12421	chr6	43874301	43876582	.	1.60478585378647	3.05100252443535e-34	1614	446
peak_5823	chr17	45408285	45412935	.	0.996626985347986	5.90588568588461e-34	5902	2242
peak_14166	chr8	142747382	142757864	.	1.16403015272206	6.22601161377254e-34	11614	4350
peak_10631	chr3	48417346	48420329	.	1.26608823772597	6.51665123677707e-34	2588	834
peak_14041	chr8	141738219	141743013	.	0.988710110822058	6.81647481016336e-34	6070	2338
peak_13989	chr8	141408753	141415605	.	1.16638086345688	1.23108789932062e-33	9646	3320
peak_6226	chr17	74340591	74346576	.	1.07836532880646	1.95736156899799e-33	8082	2866
peak_7673	chr2	27037467	27039252	.	1.51162867370873	2.11027075056329e-33	1804	466
peak_9391	chr20	63243165	63244965	.	1.31266567937971	3.09042050653459e-33	2104	672
peak_1670	chr10	69737911	69738750	.	1.98292157169712	5.35578063589883e-33	806	178
peak_10210	chr22	45014110	45015112	.	1.52825381891716	5.54723268244456e-33	992	272
peak_14028	chr8	141666614	141672416	.	1.06643839122912	7.84230021083167e-33	7036	2578
peak_4029	chr14	73745812	73747440	.	1.37133164627743	9.22675447253329e-33	1698	518
peak_10288	chr22	49946640	49960800	.	1.15528475573965	3.06831624132578e-32	10672	3438
peak_6039	chr17	61334844	61335665	.	1.49216715278685	4.41022105517687e-32	1184	368
peak_14259	chr8	144532046	144535246	.	1.23257406119186	5.51668668735704e-32	3574	1222
peak_9691	chr22	20166130	20170891	.	0.974419728310819	5.63650511474062e-32	6250	2424
peak_14018	chr8	141611486	141613260	.	1.24398616569312	6.26171521079079e-32	2558	794
peak_198	chr1	22150547	22151133	.	2.32874399676312	7.17241643175601e-32	404	60
peak_4740	chr16	2928719	2930930	.	1.38920826079108	7.99819549575706e-32	1846	532
peak_9828	chr22	23832255	23834244	.	1.46808786608855	8.2926942095791e-32	1284	362
peak_6257	chr17	74647548	74648929	.	1.25740681641342	1.64118179308466e-31	2094	706
peak_149	chr1	16718172	16720009	.	1.52818481033525	2.14714606532991e-31	1170	328
peak_10183	chr22	44199817	44202410	.	1.22499082593205	2.96346707631118e-31	1724	578
peak_5625	chr17	21378425	21381512	.	1.26036993660731	2.97450998329267e-31	1812	616
peak_5914	chr17	50035188	50038252	.	1.18197698275693	4.04868767141691e-31	2970	970
peak_5553	chr17	17126370	17128674	.	1.13987591941957	4.67878620011669e-31	2260	748
peak_4365	chr15	66848271	66849834	.	1.59504405354183	6.88787734282027e-31	1382	396
peak_10675	chr3	49714313	49716845	.	1.15951289045908	1.05251276277492e-30	2106	710
peak_6026	chr17	58526597	58528459	.	1.46730942193448	1.60179780428711e-30	2132	674
peak_10728	chr3	50602099	50605576	.	1.14275304393599	1.61843662454695e-30	2558	868
peak_9001	chr20	32892883	32895286	.	1.26555935091982	1.81576279374735e-30	2386	842
peak_1901	chr10	79378888	79381179	.	1.21908925478623	1.96281271016584e-30	2460	864
peak_10707	chr3	50389401	50397184	.	0.939119755248092	2.12190512163921e-30	9040	3714
peak_1739	chr10	71259485	71261903	.	1.20284798649764	2.22757263151966e-30	2584	956
peak_10747	chr3	52032570	52033909	.	1.67115173504291	3.02973069843989e-30	1232	310
peak_6352	chr17	79319383	79319963	.	2.30153965470747	3.32642964657068e-30	796	118
peak_9805	chr22	23105873	23120652	.	0.877937668923155	3.47428259733343e-30	16284	6670
peak_6442	chr17	81312613	81316107	.	1.14994018168991	3.72918372037687e-30	3130	1054
peak_10399	chr3	13066345	13068402	.	1.364408765944	4.01299104875791e-30	1314	410
peak_10961	chr3	126549792	126551808	.	1.12984037845771	4.01299104875791e-30	2520	906
peak_2568	chr11	64061941	64063180	.	1.78431927853974	4.02367849528327e-30	856	204
peak_1899	chr10	79374987	79376601	.	1.62631311920279	4.15730618689088e-30	1462	392
peak_14215	chr8	143491072	143492724	.	1.16244156299059	4.48418803995811e-30	2462	872
peak_590	chr1	44006722	44007737	.	1.46372377578984	5.17581521959665e-30	1120	340
peak_1447	chr10	43038100	43039532	.	1.28166306910524	5.32643155772074e-30	1692	580
peak_9690	chr22	20143192	20144636	.	1.53610177049465	1.00070603104546e-29	1184	340
peak_619	chr1	46450870	46453235	.	1.48211533151117	1.11917354473835e-29	1534	510
peak_4020	chr14	73240583	73242614	.	1.33246842191372	1.39066981761515e-29	2102	730
peak_9395	chr20	63266935	63269808	.	1.32797188806357	1.44005894444016e-29	3400	1118
peak_10714	chr3	50457462	50458700	.	1.81365528236948	1.52345285155438e-29	1086	262
peak_2192	chr10	123969735	123971129	.	1.56099364035089	2.30507349600737e-29	820	208
peak_8665	chr2	238128938	238130651	.	1.65011950376035	2.63950710413725e-29	952	244
peak_1474	chr10	43374031	43378843	.	1.23654758359091	3.49066095783648e-29	5384	1958
peak_14080	chr8	142001347	142003909	.	1.30438157455893	3.78299174651496e-29	2394	796
peak_14082	chr8	142009291	142012661	.	0.992476101133656	6.27812700103273e-29	4408	1806
peak_13915	chr8	139644462	139646549	.	1.20897769662977	6.7671017093762e-29	2522	900
peak_1704	chr10	70592277	70593518	.	1.48198629092793	7.83813846846834e-29	1004	308
peak_5845	chr17	46001502	46002929	.	1.21976478447964	9.71594876645867e-29	1760	616
peak_14245	chr8	144318044	144324755	.	1.1464669457667	1.03171575372523e-28	7292	2496
peak_9400	chr20	63366264	63368637	.	1.16622174198171	1.52417994565026e-28	2274	868
peak_2686	chr11	69099186	69102272	.	1.24945955398088	1.86257666470135e-28	1896	550
peak_9337	chr20	62444026	62447344	.	1.00624551031332	2.23949730121439e-28	3476	1254
peak_2807	chr11	76245206	76247410	.	1.36130508753458	2.34783431417616e-28	1488	524
peak_7637	chr2	26181671	26183532	.	1.20956744662043	2.55823508391866e-28	1866	656
peak_6619	chr18	12422931	12424150	.	1.58828699863262	2.86910756390366e-28	936	254
peak_5597	chr17	18960086	18963026	.	1.09967596718698	3.98896549728682e-28	2642	1024
peak_14160	chr8	142631554	142636408	.	1.10431561066461	5.76561933113063e-28	6310	2148
peak_14065	chr8	141904706	141908886	.	1.03935166246741	6.3321412363351e-28	4688	1852
peak_14089	chr8	142062818	142065382	.	1.09783613092929	9.81437775577945e-28	3160	1170
peak_6025	chr17	58370654	58371896	.	1.30972982971169	1.24368973510511e-27	1404	492
peak_146	chr1	16628434	16629014	.	1.61112370451461	2.00014553778028e-27	762	212
peak_4480	chr15	77548685	77556755	.	0.954991686202734	2.30822935635776e-27	6052	2572
peak_13985	chr8	141379696	141382415	.	1.05539710481172	3.75861815507555e-27	2998	1172
peak_9939	chr22	29747330	29749216	.	1.40287349894522	4.05412941318429e-27	1088	338
peak_10109	chr22	39626783	39629336	.	1.53875448305069	4.58495887414421e-27	1566	416
peak_2787	chr11	74705097	74706126	.	1.84685370238123	5.63283904026889e-27	666	154
peak_367	chr1	30787298	30788443	.	1.49913897336623	6.11723821907194e-27	870	238
peak_7583	chr2	20614354	20617687	.	1.00753580704331	6.4235708842362e-27	4554	1794
peak_10371	chr3	10950884	10952043	.	1.94656741210272	8.19287365058948e-27	564	124
peak_12737	chr7	531745	533169	.	1.57066353391346	8.58967409634994e-27	1282	332
peak_10	chr1	2491391	2500812	.	1.01202518553216	8.76057336025076e-27	4964	1880
peak_4732	chr16	2737356	2741791	.	1.23419220507259	1.06407287945528e-26	4534	1594
peak_11243	chr3	196192047	196195185	.	0.99882751912096	1.3050820226986e-26	3038	1200
peak_9726	chr22	21025156	21030588	.	1.04508252846692	1.44106008607248e-26	5088	1966
peak_2731	chr11	70581783	70585218	.	1.1938704884066	1.4489835672407e-26	2014	760
peak_2822	chr11	77120673	77124175	.	1.16317247449203	2.00086976728766e-26	1930	688
peak_10684	chr3	50135657	50141379	.	1.00360522517326	2.04384816963246e-26	5478	2114
peak_10695	chr3	50294333	50301350	.	0.962486887875824	2.59036131885246e-26	7808	3146
peak_2978	chr12	1819032	1823573	.	0.917397408866258	2.59464057084825e-26	4598	1900
peak_7577	chr2	20564759	20566605	.	1.25118910152032	2.92105148406506e-26	1700	548
peak_10683	chr3	50122093	50124212	.	1.07469157469699	3.12097346091866e-26	2260	846
peak_10604	chr3	46875993	46879982	.	0.922807104166475	3.42488806873943e-26	4378	1696
peak_9342	chr20	62564778	62570985	.	0.986189155935538	3.68539838533539e-26	6520	2594
peak_14117	chr8	142270556	142279953	.	1.11008064414843	6.05071960969207e-26	12046	4118
peak_4315	chr15	61831187	61832583	.	1.61031844452348	6.53499880197993e-26	934	272
peak_661	chr1	53321041	53323125	.	1.29580776826312	7.02676565976753e-26	1424	448
peak_6000	chr17	57648461	57649336	.	1.49391560694227	7.29812234695285e-26	1112	330
peak_93	chr1	10685569	10689236	.	1.00032069206641	9.46515868402276e-26	3568	1352
peak_3600	chr12	131102917	131107279	.	0.987242409347474	1.06829262080241e-25	3702	1432
peak_14119	chr8	142301524	142304091	.	0.988718720626476	1.12308662896329e-25	3526	1402
peak_2954	chr12	117073	118347	.	1.52858164507429	1.12748338483277e-25	1030	302
peak_9404	chr20	63409959	63411829	.	1.22385612561841	1.42013767267188e-25	2292	882
peak_1528	chr10	46250500	46252564	.	1.13662186608115	1.68685605481413e-25	1628	546
peak_14198	chr8	143206921	143208596	.	1.29586118901841	1.68685605481413e-25	1778	502
peak_4711	chr16	1817004	1821473	.	1.03383690004789	1.70914308367326e-25	5098	1790
peak_6993	chr19	29744301	29745054	.	1.66484660327123	1.91871957685244e-25	682	200
peak_10140	chr22	42431826	42435146	.	1.01840714175549	2.14428379528578e-25	3132	1220
peak_5905	chr17	49934075	49936105	.	1.24796879939612	2.56073196036073e-25	1632	588
peak_558	chr1	42152131	42155883	.	0.997789942863051	2.6532026456656e-25	3712	1480
peak_8706	chr2	239566583	239567464	.	1.97510084481299	3.93508103756083e-25	624	122
peak_1877	chr10	79107524	79108848	.	1.37061495254101	4.93088489442896e-25	1032	286
peak_9840	chr22	24147480	24148544	.	1.60522220340706	5.27469535069668e-25	990	268
peak_812	chr1	110214595	110216026	.	1.21591428438872	5.3144911248318e-25	1180	398
peak_6624	chr18	12769957	12771214	.	-1.47252789782813	5.62308516676644e-25	564	1516
peak_9315	chr20	61895015	61898760	.	1.01504325043677	6.77652976615541e-25	3400	1418
peak_13982	chr8	141353472	141355310	.	1.09584964823293	6.7972209093632e-25	1636	600
peak_14086	chr8	142037354	142039868	.	0.911681325184398	9.40938062451985e-25	4112	1654
peak_1464	chr10	43215743	43221238	.	0.978160350070504	2.0129873468024e-24	7492	3142
peak_1457	chr10	43111717	43116553	.	0.950368608174057	2.32085794234113e-24	6192	2596
peak_13826	chr8	133717056	133717572	.	-1.11941935585886	2.4007600708916e-24	994	1606
peak_10353	chr3	10343622	10348868	.	0.969175567800635	2.95167739348585e-24	4008	1618
peak_1737	chr10	71245187	71248385	.	0.961027916205189	3.03972992184928e-24	3036	1250
peak_1719	chr10	70926249	70927266	.	1.2284821088712	3.08931934359532e-24	1136	364
peak_14238	chr8	144184615	144185297	.	1.63264130492308	3.44618566404175e-24	818	210
peak_1774	chr10	71706340	71711667	.	0.851601229699058	6.20776230553652e-24	5678	2408
peak_13996	chr8	141465332	141468325	.	0.930543208885041	6.22184586115949e-24	3808	1638
peak_13847	chr8	134475763	134477217	.	1.51828078759633	6.35612020062414e-24	1426	398
peak_10664	chr3	49518563	49519609	.	1.73034163728781	6.53080666010258e-24	676	166
peak_11671	chr5	20660548	20661258	.	-1.19363913191857	6.54730687523002e-24	528	966
peak_4476	chr15	77028916	77035488	.	1.02697185237354	6.88730295061421e-24	4588	1694
peak_800	chr1	110087787	110090257	.	1.01795987427769	7.16752792479939e-24	2486	994
peak_14014	chr8	141573901	141577339	.	1.00856852914007	7.98903522889608e-24	4110	1598
peak_2330	chr11	8230649	8232714	.	1.21277801394733	9.04274254439641e-24	1284	438
peak_10219	chr22	45475919	45477125	.	1.73926607541171	1.26459358100686e-23	652	156
peak_1730	chr10	71076332	71077846	.	1.46153088041526	1.62663909637975e-23	1044	304
peak_5852	chr17	46875790	46878538	.	1.1366574844166	1.76634192523941e-23	3460	1274
peak_10944	chr3	126348668	126351965	.	0.998286958246327	1.76634192523941e-23	3438	1426
peak_11225	chr3	195059894	195061559	.	1.24548625251169	1.76634192523941e-23	1678	620
peak_13990	chr8	141415760	141419736	.	0.956730883349325	1.87059920090443e-23	5254	2028
peak_14188	chr8	143043816	143045821	.	1.03002418177713	2.91813334509562e-23	2236	790
peak_7668	chr2	26961077	26962193	.	1.18668152391907	3.10920097716664e-23	1226	442
peak_6449	chr17	81436554	81437976	.	1.3528828025336	3.22336799166994e-23	1356	394
peak_7658	chr2	26724579	26725997	.	1.0349749764394	3.53076120146919e-23	2364	924
peak_9844	chr22	24187816	24192241	.	0.946974785161251	4.15171056513368e-23	4172	1708
peak_5159	chr16	57507232	57508914	.	1.53525252906322	4.3089996131947e-23	1124	282
peak_5947	chr17	50638146	50639722	.	0.959847199156967	4.91263892669552e-23	2384	950
peak_11976	chr5	140143529	140144450	.	1.89217212656615	6.60643910540924e-23	504	130
peak_14224	chr8	143716040	143718550	.	0.96669289838875	6.72479851126847e-23	2682	990
peak_6054	chr17	63495903	63498251	.	1.17481960573162	6.9333868621011e-23	2944	976
peak_1884	chr10	79170266	79172501	.	1.20768961513278	7.07353970358858e-23	1868	740
peak_13706	chr8	125404304	125405837	.	0.985046557589061	8.45417781645545e-23	2702	1078
peak_12720	chr7	86174	88839	.	1.12796333772898	8.48330664414678e-23	1962	762
peak_12352	chr6	37570211	37571120	.	1.73114781004268	1.29233244839991e-22	530	140
peak_14083	chr8	142013208	142018893	.	0.890430776682194	1.3120655211708e-22	8974	3624
peak_10297	chr22	50314109	50316904	.	1.13960085382799	1.3499824350428e-22	2066	816
peak_10762	chr3	52515926	52523643	.	0.903106326158788	1.47566807656996e-22	4434	1730
peak_12310	chr6	34089781	34093611	.	1.01536094161562	1.48637186433337e-22	2528	994
peak_12931	chr7	44329107	44330516	.	1.39263075365925	1.53590827007389e-22	1096	350
peak_9385	chr20	63159856	63161579	.	1.27589807163506	1.76673874128118e-22	1560	506
peak_1797	chr10	72334743	72337482	.	0.939147655051187	2.1283163716853e-22	2394	908
peak_10502	chr3	38030464	38032222	.	1.0602451930144	2.37372055032412e-22	1626	596
peak_6480	chr17	82305036	82306180	.	1.33730968773008	2.37676259374242e-22	972	324
peak_13868	chr8	135701063	135702290	.	1.32569810933964	2.55806367486038e-22	1152	386
peak_11415	chr4	46212835	46213359	.	-1.41420987900713	2.66723043764814e-22	248	526
peak_5585	chr17	18108012	18111287	.	1.05898891458618	3.16947480656465e-22	2296	932
peak_13848	chr8	134487589	134488924	.	1.34710412250021	3.42803274151163e-22	1602	576
peak_14152	chr8	142572867	142578426	.	0.939864165422797	3.49380847577216e-22	8830	3208
peak_14103	chr8	142191285	142194718	.	0.958357112451503	3.54233438858338e-22	3690	1578
peak_6874	chr19	10801971	10804243	.	1.40568420075897	3.59112523826716e-22	1068	340
peak_9924	chr22	27992753	27996448	.	0.934171058445292	3.60212657501561e-22	4034	1652
peak_11344	chr4	8211427	8213711	.	1.19126388170412	3.99572500381085e-22	1208	384
peak_7588	chr2	20884704	20885412	.	-1.20926502131806	4.14257797025036e-22	508	904
peak_14100	chr8	142154310	142155438	.	1.17497859008759	5.48633974130736e-22	1440	436
peak_12730	chr7	339594	340947	.	1.45151835835912	5.66280187826112e-22	1074	372
peak_10673	chr3	49659554	49662063	.	1.13599343966648	5.92338193796189e-22	2304	798
peak_10236	chr22	46612191	46613818	.	1.10017671117438	6.01973392988604e-22	1350	504
peak_7578	chr2	20566852	20569222	.	0.924654523161315	6.11640841112823e-22	2672	1084
peak_9820	chr22	23403600	23405850	.	1.04431960012381	7.03138274022637e-22	1890	676
peak_7644	chr2	26488143	26490086	.	1.09200987940829	7.58571680964338e-22	2224	874
peak_531	chr1	41413432	41416875	.	0.838678566719171	7.6801737246539e-22	3788	1574
peak_2073	chr10	103707556	103709651	.	1.23667470447771	9.55250078678658e-22	1534	588
peak_12280	chr6	31876982	31878229	.	1.61859737405732	1.09299371596178e-21	954	224
peak_4598	chr15	89757927	89759612	.	1.55136342775336	1.09379598322372e-21	1074	280
peak_522	chr1	41023407	41024204	.	1.67882449210864	1.11513145950295e-21	792	186
peak_9925	chr22	28004861	28006368	.	1.22094091209018	1.12387951557854e-21	2372	866
peak_2698	chr11	69374032	69376601	.	1.04473374808521	1.2639884825239e-21	2406	904
peak_7674	chr2	27076998	27077794	.	1.31514186125449	1.35384215234501e-21	900	306
peak_4783	chr16	4690854	4692894	.	1.10823510050818	1.3869833953293e-21	2168	814
peak_12094	chr5	154332103	154333197	.	1.31544240416787	1.43207001813856e-21	866	296
peak_11876	chr5	133290023	133291899	.	1.05932764123291	1.4636539713005e-21	2068	822
peak_6425	chr17	80967289	80972842	.	0.884660894977634	1.50281196774392e-21	6392	2636
peak_14037	chr8	141721916	141727229	.	0.997111678151816	1.61265206405793e-21	7616	2890
peak_14145	chr8	142502694	142506651	.	1.13917809634704	2.03959430250788e-21	4686	1750
peak_2070	chr10	103649260	103650695	.	1.36723501070231	2.47221712096311e-21	782	228
peak_6417	chr17	80825241	80826869	.	1.09834386933043	2.80017152321063e-21	1328	498
peak_14131	chr8	142411547	142413343	.	1.11563423078025	2.98464566439014e-21	2238	810
peak_8855	chr20	16939109	16940052	.	-1.35718402604232	3.13540592010933e-21	318	612
peak_8774	chr20	665208	666857	.	1.37230341574621	3.33562111043176e-21	810	258
peak_10413	chr3	13339471	13341641	.	1.44283986706318	3.43504281933195e-21	1178	386
peak_3040	chr12	3576755	3577613	.	1.41594632308234	3.47282928921229e-21	750	248
peak_14092	chr8	142094823	142096813	.	1.01783192896596	3.47282928921229e-21	2694	1120
peak_9810	chr22	23217903	23219056	.	1.33555916402594	3.64158470289961e-21	930	318
peak_6543	chr18	7150610	7151335	.	-1.20640836111443	5.81571167171932e-21	888	1760
peak_8723	chr2	240248103	240252088	.	0.923635848568235	6.25617695385617e-21	4044	1590
peak_10098	chr22	39453648	39455060	.	1.32087611997537	6.81923932839524e-21	1306	470
peak_5258	chr16	70478140	70482205	.	1.34058425643312	7.25979668587163e-21	2318	732
peak_8015	chr2	96082846	96085095	.	1.02280908369066	8.42491274215302e-21	1682	690
peak_8975	chr20	31565544	31567479	.	0.957252329449622	8.46783974547761e-21	2750	1116
peak_1467	chr10	43250766	43260782	.	0.898740634820725	1.01641780892342e-20	15694	6786
peak_8214	chr2	120352444	120355955	.	0.997091243472753	1.03922507689767e-20	3508	1512
peak_1540	chr10	46549275	46553910	.	0.821253240207773	1.18301949398407e-20	7054	3234
peak_1886	chr10	79188887	79190421	.	1.10792508870164	1.35783998617038e-20	1436	562
peak_2751	chr11	71363770	71365521	.	1.46362158424613	1.40540824774783e-20	1054	300
peak_10042	chr22	37228198	37230688	.	0.975751117520581	1.4330591391946e-20	2464	1006
peak_625	chr1	46552690	46553849	.	1.40118167862854	1.48434348964961e-20	722	242
peak_7931	chr2	71573961	71578849	.	0.89900708999577	1.59084000139966e-20	3716	1662
peak_10945	chr3	126353644	126354488	.	1.33418584688544	1.69501026882572e-20	880	312
peak_13839	chr8	133997848	133998512	.	-1.13168959111602	1.69661490025291e-20	538	946
peak_3210	chr12	31226339	31228106	.	1.01474929952979	1.83997828177648e-20	2194	834
peak_5946	chr17	50619515	50621224	.	1.12003033260995	1.9789780221265e-20	1614	652
peak_14212	chr8	143392504	143395214	.	1.00568679050252	2.53896955125014e-20	3894	1524
peak_13921	chr8	139679209	139681936	.	0.890484966980619	2.76843770411508e-20	3040	1232
peak_7197	chr19	44697374	44698919	.	1.52552646488806	2.99586365386331e-20	956	250
peak_13965	chr8	141173119	141175166	.	1.02788325627001	3.13119870455425e-20	2378	1000
peak_14022	chr8	141640251	141643006	.	0.86264476038486	3.20659750992401e-20	3512	1410
peak_9842	chr22	24162845	24167013	.	1.0221007242978	3.32762227718046e-20	3030	1322
peak_5973	chr17	54776856	54777490	.	-1.32402080164014	3.61938926959221e-20	288	594
peak_13777	chr8	132331754	132332316	.	-1.16809788011216	3.9472202335219e-20	472	840
peak_14060	chr8	141860828	141864859	.	0.885597152358743	4.14584428678151e-20	5466	2248
peak_6021	chr17	58302486	58303457	.	1.35588300373722	4.19287963541524e-20	1008	364
peak_14124	chr8	142338110	142343711	.	0.909112264823783	4.24445604533241e-20	7040	2888
peak_4693	chr16	1276909	1278949	.	1.0908736263968	4.31926306819162e-20	1788	596
peak_1662	chr10	69506498	69507518	.	1.30801204303525	4.55639174507154e-20	934	282
peak_8611	chr2	233188837	233190918	.	0.912620118292134	4.95908150149181e-20	2006	818
peak_7201	chr19	45056693	45057779	.	1.28350368232928	5.17603534941224e-20	960	272
peak_14079	chr8	141996108	142000886	.	0.841864863731697	5.49031774134509e-20	6208	2570
peak_1702	chr10	70532037	70533875	.	1.37909677686874	5.75648507484987e-20	1700	530
peak_2056	chr10	102416298	102417662	.	1.25669093724013	6.13481996395358e-20	1170	440
peak_1466	chr10	43226753	43232424	.	0.851640262761455	6.16597546090694e-20	8954	3866
peak_10225	chr22	46120913	46122961	.	1.05453264007509	6.71059788848628e-20	2064	826
peak_1620	chr10	49740031	49741712	.	1.09650414220777	6.91902010343532e-20	1732	678
peak_1772	chr10	71686691	71688449	.	1.14104029557128	7.94009660279009e-20	1490	604
peak_11844	chr5	132068276	132069974	.	1.28679414089559	7.96174249989696e-20	1300	458
peak_5846	chr17	46011506	46013728	.	0.962069722253996	8.56581544586588e-20	3244	1318
peak_6651	chr18	14826875	14827390	.	-1.20546757134995	9.73483647719832e-20	516	938
peak_14581	chr9	121781207	121783450	.	1.17524813006284	1.13180007968426e-19	990	360
peak_469	chr1	37434134	37435077	.	1.16983877999173	1.1339830916146e-19	1010	328
peak_6648	chr18	14503321	14504043	.	1.49114618571059	1.2538476221678e-19	560	154
peak_3792	chr13	113093694	113094921	.	1.33210729524406	1.3400666802913e-19	844	282
peak_10690	chr3	50190935	50192071	.	1.01405104232673	1.3400666802913e-19	1378	528
peak_6231	chr17	74433423	74434077	.	1.19226819932553	1.47135946673329e-19	878	314
peak_13984	chr8	141375100	141377571	.	0.864703445484369	1.57546505283446e-19	2552	1016
