target_id	V3	V4	V5	V6	V7	V8	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	log2FC	TPMa	TPMb	ensembl_id	gene_name	biotype	description2
133	ENSG00000186854.11	TRABD2A	TRABD2A-201	2	 84821650	 84881245	-	5	17.6761954732669	2.02624523223609e-12	1.16103851807128e-09	3.29622462653609	2.78993630195057	26.2547840986719	ENSG00000186854	TRABD2A	protein_coding	TraB domain containing 2A 
138	ENSG00000183454.18	GRIN2A	GRIN2A-202	16	  9753404	 10182754	-	4	14.1994791230282	4.14402415579002e-12	2.24955079699044e-09	5.1942258741684	0.741226708305609	29.0393533946899	ENSG00000183454	GRIN2A	protein_coding	glutamate ionotropic receptor NMDA type subunit 2A 
142	ENSG00000291130.1			19	 20415021	 20424970	-	4	10.2455568961724	6.58518128833611e-12	3.39597799039493e-09	4.83098704641366	0.757703307790804	25.8476428112997	ENSG00000291130		lncRNA	novel transcript
146	ENSG00000214279.13	SCART1	SCART1-201	10	133464232	133468991	+	4	17.121790652823	7.36197249233443e-12	3.4514265584517e-09	4.07380701820303	1.8689735393083	26.6664740998179	ENSG00000214279	SCART1	protein_coding	scavenger receptor family member expressed on T cells 1 
150	ENSG00000196735.13	HLA-DQA1	HLA-DQA1-201	6	 32637406	 32643684	+	5	29.4865508731378	7.07256121916914e-12	3.4514265584517e-09	1.22012211950508	168.912550425573	403.262824166224	ENSG00000196735	HLA-DQA1	protein_coding	major histocompatibility complex, class II, DQ alpha 1 
155	ENSG00000137766.18	UNC13C	UNC13C-201	15	 53978441	 54628605	+	3	18.6023416389389	8.20334118681131e-12	3.67866352177269e-09	2.27637831892567	25.9576602438834	132.712076910807	ENSG00000137766	UNC13C	protein_coding	unc-13 homolog C 
158	ENSG00000104723.21	TUSC3	TUSC3-202	8	 15417215	 15673836	+	5	12.5244862728522	1.19744799667375e-11	5.14603276570545e-09	5.51669268401337	0.865103867304691	40.2649958404229	ENSG00000104723	TUSC3	protein_coding	tumor suppressor candidate 3 
163	ENSG00000196549.13	MME	MME-203	3	155079672	155183704	+	3	7.64410583789589	4.42217936899148e-11	1.82441432047113e-08	9.16143567866897	0.0378336585866108	20.1994531746217	ENSG00000196549	MME	protein_coding	membrane metalloendopeptidase 
168	ENSG00000004468.13	CD38	CD38-201	4	 15778328	 15853232	+	5	13.3460559168354	5.35031721965487e-11	2.12242968475078e-08	-4.54525222387119	34.409469923811	0.73922714492889	ENSG00000004468	CD38	protein_coding	CD38 molecule 
173	ENSG00000103187.8	COTL1	COTL1-201	16	 84565596	 84618078	-	3	12.0872525903632	5.6292619801353e-11	2.15037807641169e-08	-3.42418096850479	279.670738047689	26.1495130906282	ENSG00000103187	COTL1	protein_coding	coactosin like F-actin binding protein 1 
176	ENSG00000081189.16	MEF2C	MEF2C-201	5	 88718241	 88904053	-	11	49.8838683236461	7.70545356369047e-11	2.83835885913941e-08	-1.12628136779371	225.722668444622	108.885126037675	ENSG00000081189	MEF2C	protein_coding	myocyte enhancer factor 2C 
187	ENSG00000125772.14	GPCPD1	GPCPD1-201	20	  5544439	  5611006	-	4	19.8704556608048	1.11667417092746e-10	3.97150944791237e-08	-2.00838358544992	56.5740087078773	16.0349342052327	ENSG00000125772	GPCPD1	protein_coding	glycerophosphocholine phosphodiesterase 1 
191	ENSG00000137965.11	IFI44	IFI44-201	1	 78649831	 78664073	+	8	36.7244165823974	1.32335458824143e-10	4.43051103386093e-08	-1.46719849934185	225.560597706448	85.1028512547541	ENSG00000137965	IFI44	protein_coding	interferon induced protein 44 
203	ENSG00000148513.20	ANKRD30A	ANKRD30A-201	10	 37125598	 37232567	+	4	8.23582359314472	1.62851886787913e-10	5.24891987603292e-08	8.52102810357036	0.0681954005619683	15.2124190619469	ENSG00000148513	ANKRD30A	protein_coding	ankyrin repeat domain 30A 
221	ENSG00000179676.7	LINC00305	LINC00305-202	18	 64080302	 64098610	-	4	8.68212789071712	2.12073827489711e-10	6.24951273351108e-08	-4.62313946212308	58.4503460877687	2.60459642225119	ENSG00000179676	LINC00305	lncRNA	long intergenic non-protein coding RNA 305 
225	ENSG00000154096.14	THY1	THY1-201	11	119415476	119423172	-	4	10.2846065486525	2.23987760210737e-10	6.41724933003762e-08	5.87858541596259	0.545337522699278	28.4667329796367	ENSG00000154096	THY1	protein_coding	Thy-1 cell surface antigen 
229	ENSG00000151276.24	MAGI1	MAGI1-202	3	 65353526	 66038918	-	3	9.62491947226595	3.4297048437797e-10	9.56053398884967e-08	7.47886696878062	0.24939374349029	32.6042333785101	ENSG00000151276	MAGI1	protein_coding	membrane associated guanylate kinase, WW and PDZ domain containing 1 
232	ENSG00000100504.17	PYGL	PYGL-201	14	 50905217	 50944483	-	2	11.4751618089907	3.86785471338983e-10	1.04981719773428e-07	2.14715903072865	12.041058212287	53.0983753910168	ENSG00000100504	PYGL	protein_coding	glycogen phosphorylase L 
234	ENSG00000084636.18	COL16A1	COL16A1-202	1	 31679230	 31704319	-	4	17.5522683666593	4.01033538308946e-10	1.06057946515858e-07	2.8646957236751	6.27363917014852	50.4046631184247	ENSG00000084636	COL16A1	protein_coding	collagen type XVI alpha 1 chain 
238	ENSG00000101680.16	LAMA1	LAMA1-201	18	  6941742	  7117797	-	4	10.9773327620282	4.46472890776745e-10	1.15123034886784e-07	7.44081388900777	0.32608652252472	46.8837448512959	ENSG00000101680	LAMA1	protein_coding	laminin subunit alpha 1 
242	ENSG00000158517.16	NCF1	NCF1-201	7	 74774011	 74789315	+	3	15.2409032749098	4.98172366022922e-10	1.25320726418547e-07	-1.85891725199885	256.082827911069	72.802121969087	ENSG00000158517	NCF1	protein_coding	neutrophil cytosolic factor 1 
245	ENSG00000152990.14	ADGRA3	ADGRA3-201	4	 22387708	 22455834	-	3	13.1306494243007	5.77736799280063e-10	1.4187565113749e-07	4.39533356200694	2.03809230054267	39.581289596496	ENSG00000152990	ADGRA3	protein_coding	adhesion G protein-coupled receptor A3 
248	ENSG00000030419.17	IKZF2	IKZF2-201	2	213005363	213150334	-	6	26.9265149744056	6.07148705176997e-10	1.45630970818501e-07	-1.24747466148314	58.8507525324616	25.867641514315	ENSG00000030419	IKZF2	protein_coding	IKAROS family zinc finger 2 
254	ENSG00000143297.19	FCRL5	FCRL5-201	1	157513377	157552515	-	4	17.9315076397602	6.73119996810074e-10	1.5778544652498e-07	-3.33432095480684	35.2307216676279	3.33627459045977	ENSG00000143297	FCRL5	protein_coding	Fc receptor like 5 
258	ENSG00000150394.14	CDH8	CDH8-202	16	 61901392	 61918714	-	4	9.05455523988787	7.06343983318566e-10	1.61894040976615e-07	6.08392091340891	0.792070388243415	40.1414419029691	ENSG00000150394	CDH8	protein_coding	cadherin 8 
262	ENSG00000102935.12	ZNF423	ZNF423-201	16	 49490787	 49664225	-	2	5.67225087811484	8.96303787810044e-10	2.00966897118974e-07	7.90863405464605	0.145179050233735	25.3554973918758	ENSG00000102935	ZNF423	protein_coding	zinc finger protein 423 
264	ENSG00000107130.10	NCS1	NCS1-201	9	130172404	130237303	+	2	8.46655453839277	1.12539158571462e-09	2.469635918098e-07	4.95794730053297	0.750763562515046	26.7556761379624	ENSG00000107130	NCS1	protein_coding	neuronal calcium sensor 1 
266	ENSG00000095585.18	BLNK	BLNK-201	10	 96189171	 96271569	-	10	47.0231015280846	1.34835316445783e-09	2.89727386212876e-07	-1.12132611477995	147.910867554559	67.1079736290973	ENSG00000095585	BLNK	protein_coding	B cell linker 
276	ENSG00000023909.10	GCLM	GCLM-201	1	 93885199	 93909430	-	2	13.0072600209802	1.86516308580319e-09	3.84745841339482e-07	1.12089248066919	16.9331083887194	35.1049364273759	ENSG00000023909	GCLM	protein_coding	glutamate-cysteine ligase modifier subunit 
278	ENSG00000164023.15	SGMS2	SGMS2-201	4	107893238	107910953	+	3	8.45287864791566	1.86133758304988e-09	3.84745841339482e-07	7.72652865326756	0.0599770951436087	14.6651125056087	ENSG00000164023	SGMS2	protein_coding	sphingomyelin synthase 2 
281	ENSG00000183580.10	FBXL7	FBXL7-201	5	 15927888	 15939795	+	2	6.41309194622265	1.97928765390529e-09	3.92584093507291e-07	9.81875374825156	0.015776117375288	22.9267256490584	ENSG00000183580	FBXL7	protein_coding	F-box and leucine rich repeat protein 7 
283	ENSG00000152818.20	UTRN	UTRN-201	6	144583171	144853010	+	3	12.332869653446	1.96999575456085e-09	3.92584093507291e-07	-2.97351706342838	22.6587157539087	3.06567432391623	ENSG00000152818	UTRN	protein_coding	utrophin 
286	ENSG00000155629.15	PIK3AP1	PIK3AP1-201	10	 96593315	 96720514	-	3	20.8502281555418	2.09851263589029e-09	4.08378477859858e-07	-1.06332502139051	136.168339101776	64.5064625410127	ENSG00000155629	PIK3AP1	protein_coding	phosphoinositide-3-kinase adaptor protein 1 
289	ENSG00000251301.8	LINC02384	LINC02384-204	12	 68431855	 68432654	-	4	13.1668008399934	2.61263515585558e-09	4.99013314768416e-07	3.33282778049458	6.84169275910778	69.628497979178	ENSG00000251301	LINC02384	lncRNA	long intergenic non-protein coding RNA 2384 
302	ENSG00000151474.23	FRMD4A	FRMD4A-203	10	 13643706	 14330924	-	6	29.9340668912763	2.75784114858672e-09	5.07935242973632e-07	-1.15207273146346	74.5165706383098	37.2430152176852	ENSG00000151474	FRMD4A	protein_coding	FERM domain containing 4A 
308	ENSG00000100364.19	KIAA0930	KIAA0930-202	22	 45192244	 45240894	-	5	22.3348538307758	2.9897498744106e-09	5.34022985946489e-07	-1.07009932907151	99.549165864687	45.7203304595476	ENSG00000100364	KIAA0930	protein_coding	KIAA0930 
313	ENSG00000112486.18	CCR6	CCR6-201	6	167123096	167139141	+	3	6.49753870271052	3.00303792756412e-09	5.34022985946489e-07	-7.30367054313727	10.3421956990779	0	ENSG00000112486	CCR6	protein_coding	C-C motif chemokine receptor 6 
316	ENSG00000101144.13	BMP7	BMP7-201	20	 57168753	 57266641	-	3	6.75478896629635	3.07973397331883e-09	5.38379257640855e-07	10.0689541592316	0.0171056466660428	15.8207770089029	ENSG00000101144	BMP7	protein_coding	bone morphogenetic protein 7 
319	ENSG00000189337.17	KAZN	KAZN-201	1	 14924130	 15068152	+	3	7.39510371002726	3.35738182172051e-09	5.74783096471662e-07	6.36982604556961	0.197852602095614	24.2385421663246	ENSG00000189337	KAZN	protein_coding	kazrin, periplakin interacting protein 
322	ENSG00000111144.10	LTA4H	LTA4H-201	12	 96000753	 96035587	-	3	16.3354779914663	3.39943464075736e-09	5.74783096471662e-07	-1.41247087044376	78.4912451362769	30.523852683374	ENSG00000111144	LTA4H	protein_coding	leukotriene A4 hydrolase 
325	ENSG00000010278.15	CD9	CD9-201	12	  6200400	  6238266	+	4	20.5501115391275	3.72343802584621e-09	6.19411932235125e-07	2.06991958720275	31.2830080963422	140.076740860348	ENSG00000010278	CD9	protein_coding	CD9 molecule 
329	ENSG00000070081.18	NUCB2	NUCB2-201	11	 17276741	 17331390	+	5	11.8121055769189	4.7916796349194e-09	7.8446640880252e-07	-3.05286298087267	37.2553761377074	4.42690260939097	ENSG00000070081	NUCB2	protein_coding	nucleobindin 2 
334	ENSG00000027075.17	PRKCH	PRKCH-201	14	 61321579	 61550976	+	2	12.9775453827613	4.95815445514958e-09	7.99037578912699e-07	-2.09016926638066	60.2888410173527	14.6101355377873	ENSG00000027075	PRKCH	protein_coding	protein kinase C eta 
336	ENSG00000150625.17	GPM6A	GPM6A-201	4	175632934	176002332	-	3	15.420048491947	5.28090312452516e-09	8.37957458866962e-07	-2.75049508954742	70.7964847538433	9.7874905166091	ENSG00000150625	GPM6A	protein_coding	glycoprotein M6A 
339	ENSG00000165899.12	OTOGL	OTOGL-201	12	 80336512	 80379079	+	2	5.78952550488939	5.49162210339001e-09	8.45381945886038e-07	-6.29400853061514	15.3706772470766	0.302951259166313	ENSG00000165899	OTOGL	protein_coding	otogelin like 
351	ENSG00000046651.16	OFD1	OFD1-201	X	 13734748	 13769357	+	6	28.9473276355718	6.06508208862545e-09	9.1993024503063e-07	-1.13637188522122	50.7727107117105	20.9797457071924	ENSG00000046651	OFD1	protein_coding	OFD1 centriole and centriolar satellite protein 
357	ENSG00000185507.21	IRF7	IRF7-201	11	   612591	   615970	-	7	23.7893296349609	8.01159968146509e-09	1.19755998716856e-06	-1.85251420117131	77.2641800780627	20.360297415057	ENSG00000185507	IRF7	protein_coding	interferon regulatory factor 7 
364	ENSG00000218336.9	TENM3	TENM3-201	4	182680324	182755353	+	3	10.485507330503	9.98787468853705e-09	1.47164199339387e-06	5.10953682792533	0.567021593658839	15.9113290669247	ENSG00000218336	TENM3	protein_coding	teneurin transmembrane protein 3 
367	ENSG00000145934.17	TENM2	TENM2-210	5	167573659	168264146	+	2	6.12100704086277	1.0956909311233e-08	1.59168398078954e-06	7.2555598492647	0.0183842017838337	14.6103721047071	ENSG00000145934	TENM2	protein_coding	teneurin transmembrane protein 2 
370	ENSG00000152104.12	PTPN14	PTPN14-201	1	214348700	214551602	-	1	5.68227124474332	1.812472737254e-08	2.59636719611635e-06	4.44973908784246	0.455756641385422	11.186606305286	ENSG00000152104	PTPN14	protein_coding	protein tyrosine phosphatase non-receptor type 14 
371	ENSG00000161929.15	SCIMP	SCIMP-201	17	  5210150	  5234860	-	4	13.8887115021005	1.87763838963318e-08	2.65287155488721e-06	-3.69043153208749	43.5445479804892	3.14322396703641	ENSG00000161929	SCIMP	protein_coding	SLP adaptor and CSK interacting membrane protein 
375	ENSG00000162733.19	DDR2	DDR2-201	1	162632464	162787405	+	2	8.00700152382132	1.93567449997268e-08	2.6979117287457e-06	4.72589677315977	0.356963929947331	10.5909519937403	ENSG00000162733	DDR2	protein_coding	discoidin domain receptor tyrosine kinase 2 
377	ENSG00000140968.12	IRF8	IRF8-201	16	 85899162	 85922606	+	7	31.1587782771619	2.14729840554524e-08	2.95296476730582e-06	-1.7489943725261	131.871327118734	37.7606001725713	ENSG00000140968	IRF8	protein_coding	interferon regulatory factor 8 
384	ENSG00000197959.15	DNM3	DNM3-202	1	171841500	172412717	+	2	8.7898558952155	2.47620870341104e-08	3.36047586407651e-06	3.56062269438187	1.15698592091148	13.1508578239178	ENSG00000197959	DNM3	protein_coding	dynamin 3 
386	ENSG00000071054.17	MAP4K4	MAP4K4-201	2	101697707	101894690	+	6	38.9436316953	2.55739521893474e-08	3.4255810763757e-06	1.07795411639555	47.5728390719422	108.901536460272	ENSG00000071054	MAP4K4	protein_coding	mitogen-activated protein kinase kinase kinase kinase 4 
392	ENSG00000272620.2	AFAP1-AS1	AFAP1-AS1-201	4	  7754077	  7778928	+	1	5.31905169504186	2.62150459123427e-08	3.466435686409e-06	7.77294164565335	0.126044287968613	29.1155401184618	ENSG00000272620	AFAP1-AS1	lncRNA	AFAP1 antisense RNA 1 
393	ENSG00000145349.20	CAMK2D	CAMK2D-201	4	113451032	113761927	-	7	29.9022074425078	2.7846576570259e-08	3.63556443981837e-06	-1.13081012495581	47.9591673638553	21.4793869796502	ENSG00000145349	CAMK2D	protein_coding	calcium/calmodulin dependent protein kinase II delta 
400	ENSG00000198216.14	CACNA1E	CACNA1E-202	1	181482854	181801580	+	3	12.5257272052197	3.03370550528278e-08	3.89471864051465e-06	3.22009802179754	1.94968826325115	20.2856170489456	ENSG00000198216	CACNA1E	protein_coding	calcium voltage-gated channel subunit alpha1 E 
412	ENSG00000174500.13	GCSAM	GCSAM-201	3	112120839	112133248	-	4	14.3822825679754	3.260114842109e-08	4.10058835140393e-06	-2.77552904421624	41.5143466061288	6.07594764766772	ENSG00000174500	GCSAM	protein_coding	germinal center associated signaling and motility 
416	ENSG00000108175.19	ZMIZ1	ZMIZ1-201	10	 79068966	 79316519	+	2	10.5575515766001	3.383591426554e-08	4.107874919131e-06	-2.36753110574095	37.549990744157	7.20176103650587	ENSG00000108175	ZMIZ1	protein_coding	zinc finger MIZ-type containing 1 
418	ENSG00000142347.19	MYO1F	MYO1F-201	19	  8551830	  8577438	-	3	8.27456106522952	3.3619323184545e-08	4.107874919131e-06	5.45973697290575	0.700746314746869	29.6048942441201	ENSG00000142347	MYO1F	protein_coding	myosin IF 
422	ENSG00000196141.14	SPATS2L	SPATS2L-202	2	200306524	200478530	+	6	22.1645114854545	3.38539236112211e-08	4.107874919131e-06	-2.19825519890554	77.8814111380855	19.4573906431878	ENSG00000196141	SPATS2L	protein_coding	spermatogenesis associated serine rich 2 like 
434	ENSG00000132530.17	XAF1	XAF1-202	17	  6756046	  6775647	+	5	17.3111788192975	4.38512120963161e-08	5.19278379504694e-06	-2.03871130808457	78.3670180618066	20.9953947996538	ENSG00000132530	XAF1	protein_coding	XIAP associated factor 1 
439	ENSG00000261115.7	TMEM178B	TMEM178B-202	7	141074064	141480380	+	1	6.56378237097925	4.43053106422465e-08	5.19278379504694e-06	2.5949467390304	1.65206317478559	10.3164272102328	ENSG00000261115	TMEM178B	protein_coding	transmembrane protein 178B 
440	ENSG00000197461.13	PDGFA	PDGFA-201	7	   498309	   519394	-	2	7.02536895365136	4.71243459745441e-08	5.46112926271289e-06	-4.48441171933601	19.262373538716	0.883920965354014	ENSG00000197461	PDGFA	protein_coding	platelet derived growth factor subunit A 
442	ENSG00000072840.13	EVC	EVC-201	4	  5711201	  5814305	+	2	6.43494921200925	4.8441919480262e-08	5.51197177470581e-06	7.14764411552536	0.125157507162475	14.4772372815906	ENSG00000072840	EVC	protein_coding	EvC ciliary complex subunit 1 
444	ENSG00000204257.15	HLA-DMA	HLA-DMA-201	6	 32948618	 32953097	-	4	16.6128847590813	4.91663179438564e-08	5.51197177470581e-06	1.76588484633989	24.1992897512585	87.324942774176	ENSG00000204257	HLA-DMA	protein_coding	major histocompatibility complex, class II, DM alpha 
448	ENSG00000005249.13	PRKAR2B	PRKAR2B-201	7	107044705	107161811	+	1	5.12768179969569	4.8805552491503e-08	5.51197177470581e-06	6.84123986614467	0.253995479540527	36.232572153701	ENSG00000005249	PRKAR2B	protein_coding	protein kinase cAMP-dependent type II regulatory subunit beta 
449	ENSG00000134909.19	ARHGAP32	ARHGAP32-201	11	128965060	129192198	-	3	5.99979660260598	5.39668454419216e-08	5.92142599880829e-06	11.8391674232186	0	11.3069087910438	ENSG00000134909	ARHGAP32	protein_coding	Rho GTPase activating protein 32 
452	ENSG00000231527.7	FAM27C	FAM27C-201	9	 61854162	 61855331	+	3	14.1910064244183	5.36555002284774e-08	5.92142599880829e-06	1.43353603686199	44.8506604367278	123.671114475717	ENSG00000231527	FAM27C	lncRNA	family with sequence similarity 27 member C 
466	ENSG00000100320.24	RBFOX2	RBFOX2-208	22	 35744148	 35840284	-	3	7.53008074685395	5.73674561061718e-08	6.14387820187028e-06	-4.16682001711859	22.1811609493669	0.853666015902464	ENSG00000100320	RBFOX2	protein_coding	RNA binding fox-1 homolog 2 
469	ENSG00000123892.12	RAB38	RAB38-201	11	 88113251	 88175443	-	1	6.30401428144999	6.17201315028785e-08	6.49572894204785e-06	-3.05743045428051	74.1727668506213	9.16254302850595	ENSG00000123892	RAB38	protein_coding	RAB38, member RAS oncogene family 
470	ENSG00000187134.14	AKR1C1	AKR1C1-201	10	  4963789	  4969941	+	2	5.20967712508508	7.25360179528344e-08	7.48136489165534e-06	8.95532796058202	0.0986745286172496	39.784061670514	ENSG00000187134	AKR1C1	protein_coding	aldo-keto reductase family 1 member C1 
473	ENSG00000222036.8	POTEM	POTEM-201	14	 18967434	 19003752	+	1	5.03314482313168	7.22832828496868e-08	7.48136489165534e-06	9.06716457035075	0.0639233139320048	33.1594772844324	ENSG00000222036	POTEM	protein_coding	POTE ankyrin domain family member M 
474	ENSG00000127603.32	MACF1	MACF1-205	1	 39300314	 39486987	+	5	28.6547173417256	7.36254217381439e-08	7.51854059215066e-06	1.00720767086441	24.0964892739984	49.6130909976114	ENSG00000127603	MACF1	protein_coding	microtubule actin crosslinking factor 1 
479	ENSG00000291230.1			19	 50337008	 50344767	-	4	12.809034600925	7.50034816409854e-08	7.58417558475611e-06	-2.4282709559602	110.309479272591	22.3232502573227	ENSG00000291230		lncRNA	novel transcript
483	ENSG00000149294.17	NCAM1	NCAM1-201	11	112961420	113278436	+	2	5.16375866069725	7.80504812800033e-08	7.74050638386494e-06	9.23647301358285	0.0379367052567719	32.3339018863563	ENSG00000149294	NCAM1	protein_coding	neural cell adhesion molecule 1 
492	ENSG00000176049.16	JAKMIP2	JAKMIP2-201	5	147588566	147782775	-	2	5.0014380215178	8.97566513527759e-08	8.81666763859553e-06	8.60871490706068	0.0120725225954235	10.9274055026785	ENSG00000176049	JAKMIP2	protein_coding	janus kinase and microtubule interacting protein 2 
494	ENSG00000141655.18	TNFRSF11A	TNFRSF11A-201	18	 62325287	 62387659	+	3	10.1362156722554	9.27990986981206e-08	9.02952739596619e-06	4.50370560151615	0.426240928719988	12.3636319743992	ENSG00000141655	TNFRSF11A	protein_coding	TNF receptor superfamily member 11a 
497	ENSG00000138623.10	SEMA7A	SEMA7A-201	15	 74409289	 74433958	-	3	17.3304924401998	9.67802621958069e-08	9.32889368493039e-06	-1.31703531834146	69.5723811799478	28.5904251128488	ENSG00000138623	SEMA7A	protein_coding	semaphorin 7A (John Milton Hagen blood group) 
500	ENSG00000167306.21	MYO5B	MYO5B-201	18	 49822789	 50195147	-	2	7.97318942247899	9.91931293921421e-08	9.47294385694957e-06	7.29926977244253	0.249600476329169	34.8857726765004	ENSG00000167306	MYO5B	protein_coding	myosin VB 
502	ENSG00000291205.1			14	 19306692	 19316914	+	2	5.40665342436876	1.08699947296208e-07	1.01987175512121e-05	9.00810033865529	0.0756194872358088	66.0074265047575	ENSG00000291205		lncRNA	novel transcript
504	ENSG00000290919.1	UBBP4	UBBP4-203	17	 22090743	 22205151	+	2	4.51086327155022	1.08770499382716e-07	1.01987175512121e-05	5.20489615359813	1.06360827626109	34.7044082294988	ENSG00000290919	UBBP4	lncRNA	ubiquitin B pseudogene 4 
506	ENSG00000177694.16	NAALADL2	NAALADL2-205	3	174440978	174459777	+	2	7.05227549057883	1.14032134698464e-07	1.05957426781978e-05	-1.15146943207793	26.7056291276624	12.5153339194905	ENSG00000177694	NAALADL2	protein_coding	N-acetylated alpha-linked acidic dipeptidase like 2 
508	ENSG00000156011.18	PSD3	PSD3-202	8	 18527303	 19013703	-	2	5.31475011532975	1.17101767343511e-07	1.07838181105444e-05	5.29554380415557	0.206509027585128	8.92667941350686	ENSG00000156011	PSD3	protein_coding	pleckstrin and Sec7 domain containing 3 
538	ENSG00000290415.1			22	 15805263	 15815897	-	2	4.93241985841563	1.2200703770983e-07	1.08481085080965e-05	8.99392298135626	0.0756194872358088	48.1148275558507	ENSG00000290415		lncRNA	novel transcript
540	ENSG00000184897.7	H1-10	H1-10-201	3	129314771	129316286	-	2	12.7664617726243	1.21111567867713e-07	1.08481085080965e-05	-1.95717515930035	101.29097168793	23.3389063001937	ENSG00000184897	H1-10	protein_coding	H1.10 linker histone 
542	ENSG00000100351.17	GRAP2	GRAP2-201	22	 39901084	 39973721	+	4	19.0570427355502	1.2435830922571e-07	1.08697593335083e-05	-1.92906554784802	74.7061157960669	21.0075199470995	ENSG00000100351	GRAP2	protein_coding	GRB2 related adaptor protein 2 
546	ENSG00000104290.11	FZD3	FZD3-201	8	 28494212	 28574258	+	2	5.92034788727712	1.23768275370995e-07	1.08697593335083e-05	-4.57921880544589	10.5862888225828	0.513867332511535	ENSG00000104290	FZD3	protein_coding	frizzled class receptor 3 
