seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	1330278	1333066	2789	*	Promoter (<=1kb)	1	1331280	1335314	4035	1	83756	ENST00000339381.6	0	ENSG00000169962	TAS1R3	taste 1 receptor member 3
chr1	1342371	1346669	4299	*	Exon (ENST00000378891.9/1855, exon 2 of 15)	1	1339492	1340365	874	2	1855	ENST00000633096.1	-2006	ENSG00000107404	DVL1	dishevelled segment polarity protein 1
chr1	1347656	1349146	1491	*	Promoter (<=1kb)	1	1335276	1349112	13837	2	1855	ENST00000378891.9	0	ENSG00000107404	DVL1	dishevelled segment polarity protein 1
chr1	1431784	1435303	3520	*	Promoter (<=1kb)	1	1429194	1432028	2835	2	102724312	ENST00000730008.1	0	ENSG00000225285	LINC01770	long intergenic non-protein coding RNA 1770
chr1	1436291	1439092	2802	*	Promoter (<=1kb)	1	1435735	1437177	1443	1	64856	ENST00000471398.1	556	ENSG00000179403	VWA1	von Willebrand factor A domain containing 1
chr1	1440072	1442087	2016	*	3' UTR	1	1435735	1437177	1443	1	64856	ENST00000471398.1	4337	ENSG00000179403	VWA1	von Willebrand factor A domain containing 1
chr1	1511528	1512189	662	*	Promoter (<=1kb)	1	1512162	1534685	22524	1	55210	ENST00000378756.8	0	ENSG00000197785	ATAD3A	ATPase family AAA domain containing 3A
chr1	1597507	1599189	1683	*	Promoter (<=1kb)	1	1598012	1600135	2124	2	643988	ENST00000422725.4	946	ENSG00000228594	FNDC10	fibronectin type III domain containing 10
chr1	1600993	1602760	1768	*	Promoter (<=1kb)	1	1600466	1607327	6862	1	105378586	ENST00000828256.1	527	NA	LOC105378586	uncharacterized LOC105378586
chr1	1617972	1619102	1131	*	Promoter (<=1kb)	1	1617577	1630532	12956	1	142678	ENST00000506488.5	395	ENSG00000197530	MIB2	MIB E3 ubiquitin protein ligase 2
chr1	1619794	1623298	3505	*	Promoter (<=1kb)	1	1623122	1624859	1738	1	142678	ENST00000512004.1	0	ENSG00000197530	MIB2	MIB E3 ubiquitin protein ligase 2
chr1	1686348	1686867	520	*	Intron (ENST00000614300.4/728661, intron 2 of 6)	1	1692528	1701813	9286	1	8511	ENST00000847997.1	-5661	ENSG00000310190	MMP23A	matrix metallopeptidase 23A (pseudogene)
chr1	1741014	1741367	354	*	Promoter (1-2kb)	1	1734690	1739557	4868	2	9906	ENST00000643943.1	-1457	NA	SLC35E2A	solute carrier family 35 member E2A (pseudogene)
chr1	1893186	1894901	1716	*	Promoter (<=1kb)	1	1785477	1892292	106816	2	2782	ENST00000703704.1	-894	ENSG00000078369	GNB1	G protein subunit beta 1
chr1	1895426	1896385	960	*	Distal Intergenic	1	1785477	1892292	106816	2	2782	ENST00000703704.1	-3134	ENSG00000078369	GNB1	G protein subunit beta 1
chr1	1898687	1900283	1597	*	Distal Intergenic	1	1785477	1892292	106816	2	2782	ENST00000703704.1	-6395	ENSG00000078369	GNB1	G protein subunit beta 1
chr1	1906055	1907716	1662	*	Promoter (1-2kb)	1	1906007	1909070	3064	2	124903822	ENST00000726657.1	1354	NA	LOC124903822	uncharacterized LOC124903822
chr1	1914132	1917746	3615	*	Promoter (<=1kb)	1	1915108	1917294	2187	1	163688	ENST00000378604.3	0	ENSG00000169885	CALML6	calmodulin like 6
chr1	1917970	1920735	2766	*	Promoter (<=1kb)	1	1917590	1918797	1208	2	339456	ENST00000378602.3	0	ENSG00000178821	TMEM52	transmembrane protein 52
chr1	1925325	1927405	2081	*	Promoter (<=1kb)	1	1922083	1927403	5321	2	85452	ENST00000412120.2	0	ENSG00000142609	CFAP74	cilia and flagella associated protein 74
chr1	1942421	1943995	1575	*	Intron (ENST00000493964.5/85452, intron 21 of 37)	1	1921957	1927929	5973	2	85452	ENST00000464311.5	-14492	ENSG00000142609	CFAP74	cilia and flagella associated protein 74
chr1	1969464	1970902	1439	*	Exon (ENST00000493964.5/85452, exon 10 of 38)	1	1955711	1960108	4398	2	85452	ENST00000461752.3	-9356	ENSG00000142609	CFAP74	cilia and flagella associated protein 74
chr1	2027960	2029412	1453	*	Promoter (<=1kb)	1	2028919	2030717	1799	1	2563	ENST00000640688.1	0	ENSG00000187730	GABRD	gamma-aminobutyric acid type A receptor subunit delta
chr1	2030760	2032649	1890	*	Promoter (1-2kb)	1	2028919	2030717	1799	1	2563	ENST00000640688.1	1841	ENSG00000187730	GABRD	gamma-aminobutyric acid type A receptor subunit delta
chr1	2040694	2042032	1339	*	Intron (ENST00000807392.1/105378590, intron 1 of 3)	1	2033504	2047283	13780	2	105378590	ENST00000807397.1	5251	NA	LOC105378590	uncharacterized LOC105378590
chr1	2044997	2046817	1821	*	Promoter (<=1kb)	1	2033504	2047283	13780	2	105378590	ENST00000807397.1	466	NA	LOC105378590	uncharacterized LOC105378590
chr1	2104509	2105528	1020	*	Promoter (<=1kb)	1	2104716	2150870	46155	1	5590	ENST00000482686.5	0	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2106776	2107296	521	*	Intron (ENST00000378567.8/5590, intron 4 of 17)	1	2104739	2156087	51349	1	5590	ENST00000486681.5	2037	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2173593	2174752	1160	*	Exon (ENST00000378567.8/5590, exon 14 of 18)	1	2168975	2173951	4977	1	5590	ENST00000472017.1	4618	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2179381	2180279	899	*	Intron (ENST00000378567.8/5590, intron 16 of 17)	1	2181794	2183875	2082	2	100506504	ENST00000333854.2	3596	ENSG00000182873	PRKCZ-AS1	PRKCZ antisense RNA 1
chr1	2193316	2194531	1216	*	Promoter (<=1kb)	1	2189544	2194108	4565	2	199990	ENST00000497675.2	0	ENSG00000162585	FAAP20	FA core complex associated protein 20
chr1	2195163	2198145	2983	*	Promoter (<=1kb)	1	2184478	2194775	10298	2	199990	ENST00000414253.5	-388	ENSG00000162585	FAAP20	FA core complex associated protein 20
chr1	2198243	2199819	1577	*	Promoter (<=1kb)	1	2189548	2199907	10360	2	199990	ENST00000401813.7	88	ENSG00000162585	FAAP20	FA core complex associated protein 20
chr1	2202919	2205378	2460	*	Promoter (<=1kb)	1	2198063	2203882	5820	2	199990	ENST00000514625.1	0	ENSG00000162585	FAAP20	FA core complex associated protein 20
chr1	2209404	2211186	1783	*	Promoter (1-2kb)	1	2212523	2220738	8216	1	124903823	ENST00000442483.2	-1337	NA	LOC124903823	uncharacterized LOC124903823
chr1	2213882	2217114	3233	*	Promoter (1-2kb)	1	2189548	2212720	23173	2	199990	ENST00000487186.5	-1162	ENSG00000162585	FAAP20	FA core complex associated protein 20
chr1	2228803	2230656	1854	*	Promoter (<=1kb)	1	2228319	2310213	81895	1	6497	ENST00000378536.5	484	ENSG00000157933	SKI	SKI proto-oncogene
chr1	2230844	2232268	1425	*	Promoter (<=1kb)	1	2232479	2303038	70560	1	6497	ENST00000508416.1	-211	ENSG00000157933	SKI	SKI proto-oncogene
chr1	2236748	2237615	868	*	Intron (ENST00000704337.1/6497, intron 1 of 3)	1	2232479	2303038	70560	1	6497	ENST00000508416.1	4269	ENSG00000157933	SKI	SKI proto-oncogene
chr1	2243027	2243898	872	*	Intron (ENST00000704337.1/6497, intron 1 of 3)	1	2247996	2303376	55381	1	6497	ENST00000478223.2	-4098	ENSG00000157933	SKI	SKI proto-oncogene
chr1	2298630	2300947	2318	*	Exon (ENST00000730475.1/ENST00000730475.1, exon 1 of 1)	1	2303646	2304368	723	1	6497	ENST00000507179.1	-2699	ENSG00000157933	SKI	SKI proto-oncogene
chr1	2315552	2318564	3013	*	Promoter (<=1kb)	1	2316297	2319274	2978	1	124903824	ENST00000810893.1	0	ENSG00000287356	LOC124903824	uncharacterized LOC124903824
chr1	2327616	2328668	1053	*	Intron (ENST00000378531.8/79906, intron 12 of 13)	1	2318504	2319274	771	1	124903824	ENST00000810896.1	9112	ENSG00000287356	LOC124903824	uncharacterized LOC124903824
chr1	2352232	2353569	1338	*	Promoter (<=1kb)	1	2350414	2352820	2407	2	100129534	ENST00000602865.1	0	ENSG00000292993	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene
chr1	2376255	2378921	2667	*	Promoter (<=1kb)	1	2358638	2375878	17241	2	79906	ENST00000607342.5	-377	ENSG00000116151	MORN1	MORN repeat containing 1
chr1	2380895	2384306	3412	*	Promoter (<=1kb)	1	2371676	2385121	13446	2	79906	ENST00000419785.1	815	ENSG00000116151	MORN1	MORN repeat containing 1
chr1	2411682	2412444	763	*	Promoter (<=1kb)	1	2404061	2412456	8396	2	5192	ENST00000650293.1	12	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
chr1	2412557	2414879	2323	*	Promoter (<=1kb)	1	2403964	2412564	8601	2	5192	ENST00000288774.8	0	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
chr1	2417389	2419726	2338	*	Distal Intergenic	1	2408530	2413797	5268	2	5192	ENST00000508384.5	-3592	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
chr1	2436535	2437747	1213	*	Intron (ENST00000609981.5/9651, intron 2 of 3)	1	2425980	2479804	53825	1	9651	ENST00000609981.5	10555	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2451596	2453921	2326	*	Intron (ENST00000609981.5/9651, intron 2 of 3)	1	2467459	2505526	38068	1	9651	ENST00000449969.5	-13538	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2457910	2459323	1414	*	Intron (ENST00000609981.5/9651, intron 2 of 3)	1	2467459	2505526	38068	1	9651	ENST00000449969.5	-8136	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2459731	2461692	1962	*	Intron (ENST00000609981.5/9651, intron 2 of 3)	1	2467459	2505526	38068	1	9651	ENST00000449969.5	-5767	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2463362	2465504	2143	*	Promoter (1-2kb)	1	2467459	2505526	38068	1	9651	ENST00000449969.5	-1955	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2465739	2473131	7393	*	Promoter (<=1kb)	1	2467459	2505526	38068	1	9651	ENST00000449969.5	0	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2473275	2475620	2346	*	Promoter (<=1kb)	1	2476289	2505532	29244	1	9651	ENST00000378486.8	-669	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2475702	2481908	6207	*	Promoter (<=1kb)	1	2476289	2505532	29244	1	9651	ENST00000378486.8	0	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2482024	2483746	1723	*	Intron (ENST00000449969.5/9651, intron 4 of 21)	1	2479888	2505276	25389	1	9651	ENST00000278878.6	2136	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2484091	2485569	1479	*	Exon (ENST00000449969.5/9651, exon 5 of 22)	1	2479888	2505276	25389	1	9651	ENST00000278878.6	4203	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2491392	2500812	9421	*	Promoter (<=1kb)	1	2497782	2505528	7747	1	9651	ENST00000473964.5	0	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2500872	2504879	4008	*	3' UTR	1	2498647	2505528	6882	1	9651	ENST00000462379.1	2225	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2525658	2527773	2116	*	Promoter (<=1kb)	1	2508537	2526596	18060	2	55229	ENST00000378466.9	0	ENSG00000157881	PANK4	pantothenate kinase 4 (inactive)
chr1	2536317	2538211	1895	*	Intron (ENST00000644246.1/ENST00000644246.1, intron 1 of 1)	1	2528745	2530263	1519	2	388585	ENST00000378453.4	-6054	ENSG00000197921	HES5	hes family bHLH transcription factor 5
chr1	2544394	2547286	2893	*	Exon (ENST00000644246.1/ENST00000644246.1, exon 2 of 2)	1	2541473	2551640	10168	2	115110	ENST00000829788.1	4354	NA	TNFRSF14-AS1	TNFRSF14 antisense RNA 1
chr1	2556398	2561099	4702	*	Promoter (<=1kb)	1	2549920	2557031	7112	2	115110	ENST00000452793.2	0	NA	TNFRSF14-AS1	TNFRSF14 antisense RNA 1
chr1	2561356	2562840	1485	*	Promoter (<=1kb)	1	2561801	2563452	1652	1	8764	ENST00000480305.1	0	ENSG00000157873	TNFRSF14	TNF receptor superfamily member 14
chr1	2563975	2565131	1157	*	Promoter (1-2kb)	1	2566410	2569888	3479	1	100996583	ENST00000456687.3	-1279	NA	LOC100996583	uncharacterized LOC100996583
chr1	2578322	2578661	340	*	Promoter (<=1kb)	1	2577653	2581922	4270	1	100996583	ENST00000829924.1	669	NA	LOC100996583	uncharacterized LOC100996583
chr1	2583166	2584263	1098	*	Exon (ENST00000424215.2/100996583, exon 3 of 4)	1	2586491	2589632	3142	1	127281	ENST00000493183.5	-2228	ENSG00000157870	PRXL2B	peroxiredoxin like 2B
chr1	2586283	2589421	3139	*	Promoter (<=1kb)	1	2586491	2589632	3142	1	127281	ENST00000493183.5	0	ENSG00000157870	PRXL2B	peroxiredoxin like 2B
chr1	2595943	2598709	2767	*	Promoter (1-2kb)	1	2592655	2594073	1419	2	79258	ENST00000469962.1	-1870	ENSG00000142606	MMEL1	membrane metalloendopeptidase like 1
chr1	2629912	2630442	531	*	Promoter (<=1kb)	1	2590926	2629494	38569	2	79258	ENST00000504800.5	-418	ENSG00000142606	MMEL1	membrane metalloendopeptidase like 1
chr1	2652793	2655011	2219	*	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	19692	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2655542	2656362	821	*	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	22441	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2777338	2778672	1335	*	Exon (ENST00000648684.1/105378598, exon 2 of 3)	1	2773603	2776473	2871	1	105378598	ENST00000638002.1	3735	NA	LOC105378598	uncharacterized LOC105378598
chr1	2785378	2787909	2532	*	Promoter (1-2kb)	1	2641368	2789665	148298	2	100287898	ENST00000637179.1	1756	ENSG00000215912	TTC34	tetratricopeptide repeat domain 34
chr1	2801439	2802954	1516	*	Promoter (<=1kb)	1	2636986	2801693	164708	2	100287898	ENST00000401095.9	0	ENSG00000215912	TTC34	tetratricopeptide repeat domain 34
chr1	2803061	2805362	2302	*	Promoter (1-2kb)	1	2636986	2801693	164708	2	100287898	ENST00000401095.9	-1368	ENSG00000215912	TTC34	tetratricopeptide repeat domain 34
chr1	2860894	2863142	2249	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	46838	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2863273	2866135	2863	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	49217	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2876905	2880954	4050	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	62849	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2882454	2882917	464	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	68398	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2887550	2888329	780	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	73494	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2888399	2892178	3780	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	74343	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2893783	2896421	2639	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	79727	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2898012	2898779	768	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	83956	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2900732	2901883	1152	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	86676	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2907513	2909888	2376	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	93457	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2914330	2915550	1221	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	100274	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2916414	2917130	717	*	Distal Intergenic	1	2814056	2817769	3714	1	124903825	ENST00000776896.1	102358	ENSG00000287396	LOC124903825	uncharacterized LOC124903825
chr1	2930968	2933472	2505	*	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	-87995	ENSG00000169717	ACTRT2	actin related protein T2
chr1	2938885	2940158	1274	*	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	-81309	ENSG00000169717	ACTRT2	actin related protein T2
chr1	2990149	2991141	993	*	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	-30326	ENSG00000169717	ACTRT2	actin related protein T2
chr1	3000644	3001531	888	*	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	-19936	ENSG00000169717	ACTRT2	actin related protein T2
chr1	3016731	3018193	1463	*	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	-3274	ENSG00000169717	ACTRT2	actin related protein T2
chr1	3029489	3031182	1694	*	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	8022	ENSG00000169717	ACTRT2	actin related protein T2
chr1	3032214	3034015	1802	*	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	10747	ENSG00000169717	ACTRT2	actin related protein T2
chr1	3034857	3035758	902	*	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	13390	ENSG00000169717	ACTRT2	actin related protein T2
chr1	3035828	3037632	1805	*	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	14361	ENSG00000169717	ACTRT2	actin related protein T2
chr1	3060715	3062324	1610	*	Promoter (<=1kb)	1	3059617	3062032	2416	2	124903827	ENST00000453118.5	0	ENSG00000177133	LOC124903827	translation initiation factor IF-2
chr1	3081471	3082487	1017	*	Intron (ENST00000511072.5/63976, intron 1 of 15)	1	3059564	3070251	10688	2	124903827	ENST00000818092.1	-11220	ENSG00000177133	LOC124903827	translation initiation factor IF-2
chr1	3095465	3098396	2932	*	Intron (ENST00000511072.5/63976, intron 1 of 15)	1	3059564	3070251	10688	2	124903827	ENST00000818092.1	-25214	ENSG00000177133	LOC124903827	translation initiation factor IF-2
chr1	3104070	3105458	1389	*	Intron (ENST00000511072.5/63976, intron 1 of 15)	1	3127975	3128035	61	1	100422968	ENST00000635819.1	-22517	ENSG00000283572	MIR4251	microRNA 4251
chr1	3144688	3145814	1127	*	Intron (ENST00000511072.5/63976, intron 1 of 15)	1	3161276	3161957	682	2	105378606	ENST00000818385.1	16143	NA	LOC105378606	uncharacterized LOC105378606
chr1	3160047	3160749	703	*	Promoter (1-2kb)	1	3161276	3161957	682	2	105378606	ENST00000818385.1	1208	NA	LOC105378606	uncharacterized LOC105378606
chr1	3166245	3167147	903	*	Promoter (<=1kb)	1	3161276	3167152	5877	2	105378606	ENST00000818384.1	5	NA	LOC105378606	uncharacterized LOC105378606
chr1	3206335	3206965	631	*	Exon (ENST00000624175.1/ENST00000624175.1, exon 1 of 1)	1	3211011	3213146	2136	2	105378605	ENST00000818534.1	6181	NA	LOC105378605	uncharacterized LOC105378605
chr1	3262698	3265680	2983	*	Intron (ENST00000511072.5/63976, intron 3 of 15)	1	3244132	3386918	142787	1	63976	ENST00000463591.1	18566	ENSG00000142611	PRDM16	PR/SET domain 16
chr1	3271487	3272178	692	*	Intron (ENST00000511072.5/63976, intron 3 of 15)	1	3244132	3386918	142787	1	63976	ENST00000463591.1	27355	ENSG00000142611	PRDM16	PR/SET domain 16
chr1	3277820	3279868	2049	*	Intron (ENST00000511072.5/63976, intron 3 of 15)	1	3244132	3386918	142787	1	63976	ENST00000463591.1	33688	ENSG00000142611	PRDM16	PR/SET domain 16
chr1	3312819	3313521	703	*	Promoter (<=1kb)	1	3312741	3313762	1022	2	105378604	ENST00000818621.1	241	NA	LOC105378604	uncharacterized LOC105378604
chr1	3320560	3321227	668	*	Promoter (1-2kb)	1	3313052	3323149	10098	2	105378604	ENST00000669140.1	1922	NA	LOC105378604	uncharacterized LOC105378604
chr1	3329475	3330312	838	*	Intron (ENST00000511072.5/63976, intron 3 of 15)	1	3313052	3323149	10098	2	105378604	ENST00000669140.1	-6326	NA	LOC105378604	uncharacterized LOC105378604
chr1	3377549	3379060	1512	*	Intron (ENST00000511072.5/63976, intron 3 of 15)	1	3396491	3434293	37803	1	63976	ENST00000509860.1	-17431	ENSG00000142611	PRDM16	PR/SET domain 16
chr1	3381481	3383969	2489	*	Intron (ENST00000511072.5/63976, intron 3 of 15)	1	3396491	3434293	37803	1	63976	ENST00000509860.1	-12522	ENSG00000142611	PRDM16	PR/SET domain 16
chr1	3413762	3415371	1610	*	Exon (ENST00000511072.5/63976, exon 10 of 16)	1	3424919	3434095	9177	1	63976	ENST00000378389.5	-9548	ENSG00000142611	PRDM16	PR/SET domain 16
chr1	3421808	3423536	1729	*	Promoter (1-2kb)	1	3424919	3434095	9177	1	63976	ENST00000378389.5	-1383	ENSG00000142611	PRDM16	PR/SET domain 16
chr1	3423604	3425182	1579	*	Promoter (<=1kb)	1	3424919	3434095	9177	1	63976	ENST00000378389.5	0	ENSG00000142611	PRDM16	PR/SET domain 16
chr1	3461543	3463337	1795	*	5' UTR	1	3466005	3481113	15109	1	27237	ENST00000378373.5	-2668	ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor 16
chr1	3467881	3470128	2248	*	Promoter (<=1kb)	1	3468544	3473521	4978	1	27237	ENST00000445297.5	0	ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor 16
chr1	3470272	3472486	2215	*	Promoter (<=1kb)	1	3471607	3474457	2851	1	27237	ENST00000464620.1	0	ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor 16
chr1	3475819	3477636	1818	*	Exon (ENST00000378378.9/27237, exon 10 of 15)	1	3472769	3481113	8345	1	27237	ENST00000485984.1	3050	ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor 16
chr1	3493423	3506783	13361	*	Promoter (<=1kb)	1	3490312	3493486	3175	2	1953	ENST00000494257.1	0	ENSG00000162591	MEGF6	multiple EGF like domains 6
chr1	3507633	3512740	5108	*	Exon (ENST00000356575.9/1953, exon 8 of 37)	1	3490925	3496717	5793	2	1953	ENST00000491842.1	-10916	ENSG00000162591	MEGF6	multiple EGF like domains 6
chr1	3514319	3517345	3027	*	Exon (ENST00000356575.9/1953, exon 6 of 37)	1	3487961	3531423	43463	2	1953	ENST00000697102.1	14078	ENSG00000162591	MEGF6	multiple EGF like domains 6
chr1	3518261	3520703	2443	*	Intron (ENST00000356575.9/1953, intron 5 of 36)	1	3487961	3531423	43463	2	1953	ENST00000697102.1	10720	ENSG00000162591	MEGF6	multiple EGF like domains 6
chr1	3523747	3526374	2628	*	Exon (ENST00000356575.9/1953, exon 5 of 37)	1	3487961	3531423	43463	2	1953	ENST00000697102.1	5049	ENSG00000162591	MEGF6	multiple EGF like domains 6
chr1	3527841	3528875	1035	*	Intron (ENST00000356575.9/1953, intron 4 of 36)	1	3487961	3531423	43463	2	1953	ENST00000697102.1	2548	ENSG00000162591	MEGF6	multiple EGF like domains 6
