# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-B" "-C" "-F" "SAF" "-a" "purple.AM.union.saf" "-o" "counts_featureCounts.txt" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_1/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_2/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_3/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_1/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_2/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_3/human.30_120.bam" 
Geneid	Chr	Start	End	Strand	Length	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_1/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_2/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_3/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_1/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_2/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_3/human.30_120.bam
peak_119	chr1	12550435	12551076	.	642	378	516	486	354	542	292
peak_120	chr1	12572525	12574147	.	1623	886	1568	1548	1100	1598	1116
peak_121	chr1	12588203	12588810	.	608	372	868	694	568	790	502
peak_122	chr1	12851669	12852203	.	535	290	492	412	684	810	460
peak_123	chr1	13523695	13524407	.	713	240	380	392	404	374	372
peak_124	chr1	13548923	13549270	.	348	216	304	238	512	522	366
peak_125	chr1	13809576	13810156	.	581	190	258	182	344	384	298
peak_126	chr1	14017747	14018091	.	345	234	352	306	372	498	302
peak_127	chr1	14296774	14297095	.	322	166	422	332	338	518	296
peak_128	chr1	14333952	14334174	.	223	84	142	164	158	228	186
peak_129	chr1	14334435	14335132	.	698	286	408	510	556	712	488
peak_130	chr1	14440677	14441196	.	520	360	526	558	592	662	498
peak_131	chr1	14939238	14940217	.	980	416	664	570	342	412	290
peak_132	chr1	14996181	14997153	.	973	440	1128	1060	690	988	696
peak_133	chr1	15174377	15174732	.	356	180	188	188	252	278	182
peak_134	chr1	15260587	15261115	.	529	252	436	422	346	534	318
peak_135	chr1	15376933	15377270	.	338	98	196	160	194	306	212
peak_136	chr1	15432798	15433184	.	387	256	324	360	286	360	222
peak_137	chr1	15680180	15680531	.	352	136	238	324	234	294	250
peak_138	chr1	15680743	15681092	.	350	52	118	132	176	190	162
peak_139	chr1	15788339	15788507	.	169	124	194	194	176	220	138
peak_140	chr1	15796491	15797535	.	1045	558	830	700	478	680	420
peak_141	chr1	15814609	15814996	.	388	92	186	156	142	232	140
peak_142	chr1	15834357	15835289	.	933	324	806	828	328	424	280
peak_143	chr1	16158845	16159495	.	651	226	506	460	446	510	374
peak_144	chr1	16164199	16164652	.	454	294	640	506	332	558	370
peak_145	chr1	16366969	16367991	.	1023	406	850	956	534	608	370
peak_146	chr1	16628434	16629014	.	581	484	784	762	212	246	156
peak_147	chr1	16642691	16643367	.	677	496	1074	974	452	652	396
peak_148	chr1	16644601	16645037	.	437	506	1348	1100	548	740	426
peak_149	chr1	16718172	16720009	.	1838	716	1216	1170	328	352	298
peak_150	chr1	16977251	16979357	.	2107	796	1686	1736	774	1060	716
peak_151	chr1	17096966	17097625	.	660	312	568	542	404	490	304
peak_152	chr1	17136215	17136765	.	551	186	388	340	288	350	266
peak_153	chr1	17162199	17162664	.	466	178	216	252	236	312	220
peak_154	chr1	17250673	17251002	.	330	92	230	216	198	246	144
peak_155	chr1	17259216	17260009	.	794	388	466	552	178	326	214
peak_156	chr1	17392302	17392672	.	371	160	232	268	238	270	164
peak_157	chr1	17765602	17766575	.	974	358	632	570	478	610	408
peak_158	chr1	17883039	17883430	.	392	110	174	178	160	194	134
peak_159	chr1	17904887	17905151	.	265	142	136	114	162	190	162
peak_160	chr1	17948700	17949238	.	539	224	546	502	332	520	376
peak_161	chr1	17950687	17951076	.	390	146	292	342	196	366	262
peak_162	chr1	17963802	17964372	.	571	198	318	346	300	390	328
peak_163	chr1	18009482	18010057	.	576	252	402	382	360	428	344
peak_164	chr1	18211808	18212175	.	368	146	300	300	222	310	188
peak_165	chr1	18215799	18216186	.	388	182	216	240	236	240	196
peak_166	chr1	18336869	18337162	.	294	68	146	122	194	278	180
peak_167	chr1	18480293	18481619	.	1327	478	976	1024	532	722	418
peak_168	chr1	19032106	19032531	.	426	186	414	536	272	434	294
peak_169	chr1	19682374	19682873	.	500	260	396	488	300	400	308
peak_170	chr1	19816208	19816615	.	408	170	364	324	284	364	276
peak_171	chr1	19976292	19976715	.	424	138	188	200	244	228	146
peak_172	chr1	20126039	20126474	.	436	200	186	186	208	326	232
peak_173	chr1	20192375	20192825	.	451	222	428	356	400	466	350
peak_174	chr1	20367048	20368057	.	1010	522	962	958	556	700	538
peak_175	chr1	20411179	20411505	.	327	190	612	448	314	450	308
peak_176	chr1	20443641	20444536	.	896	404	628	636	400	496	364
peak_177	chr1	20466227	20467242	.	1016	410	592	620	300	360	242
peak_178	chr1	20540055	20540722	.	668	258	374	438	470	480	390
peak_179	chr1	20563410	20563923	.	514	124	246	284	226	302	250
peak_180	chr1	20588576	20589993	.	1418	514	842	864	378	464	282
peak_181	chr1	20612186	20612755	.	570	258	590	500	376	536	336
peak_182	chr1	20613284	20614365	.	1082	540	946	970	682	878	574
peak_183	chr1	20711326	20712525	.	1200	536	832	1044	394	502	318
peak_184	chr1	20732172	20733717	.	1546	850	2044	2090	1010	1360	978
peak_185	chr1	21297736	21298289	.	554	256	482	518	352	470	378
peak_186	chr1	21298459	21299453	.	995	446	730	756	600	686	464
peak_187	chr1	21564175	21565078	.	904	422	590	692	348	426	374
peak_188	chr1	21568290	21568678	.	389	174	344	322	290	298	200
peak_189	chr1	21584987	21585495	.	509	210	446	382	230	200	194
peak_190	chr1	21615530	21616129	.	600	292	466	402	286	288	192
peak_191	chr1	21791744	21792035	.	292	264	338	318	502	626	362
peak_192	chr1	21799610	21800023	.	414	192	342	338	280	380	250
peak_193	chr1	21804515	21804856	.	342	160	254	236	300	362	280
peak_194	chr1	21853003	21853737	.	735	350	636	654	390	504	334
peak_195	chr1	21933741	21934332	.	592	336	698	768	386	490	364
peak_196	chr1	22018999	22019329	.	331	140	392	370	246	420	212
peak_197	chr1	22048368	22049294	.	927	610	818	806	560	588	348
peak_198	chr1	22150547	22151133	.	587	242	404	444	60	80	58
peak_199	chr1	22162134	22162630	.	497	368	574	524	430	558	380
peak_200	chr1	22216068	22216926	.	859	420	736	708	392	474	304
peak_201	chr1	22232340	22232642	.	303	180	282	256	196	244	184
peak_202	chr1	22281552	22282299	.	748	514	778	776	628	680	392
peak_203	chr1	22380262	22380808	.	547	322	614	640	382	484	346
peak_204	chr1	22412950	22413327	.	378	334	472	502	562	770	492
peak_205	chr1	22424334	22425170	.	837	292	396	368	512	598	422
peak_206	chr1	22451680	22452369	.	690	346	858	704	506	638	448
peak_207	chr1	22561884	22562948	.	1065	788	1096	1060	668	664	486
peak_208	chr1	22579167	22580114	.	948	540	716	694	736	638	484
peak_209	chr1	22586424	22588020	.	1597	938	1792	1758	1012	1400	1004
peak_210	chr1	22601628	22602307	.	680	318	724	754	528	750	576
peak_211	chr1	22610136	22610820	.	685	448	596	518	720	728	592
peak_212	chr1	22612438	22613647	.	1210	548	1014	1008	594	574	426
peak_213	chr1	22616288	22617214	.	927	648	1164	1272	554	618	458
peak_214	chr1	22625648	22627051	.	1404	614	874	926	414	462	304
peak_215	chr1	22628575	22629303	.	729	280	544	512	506	610	454
peak_216	chr1	22639449	22639692	.	244	194	322	248	184	206	138
peak_217	chr1	22645429	22646321	.	893	378	766	738	314	382	230
peak_218	chr1	22689529	22689910	.	382	176	406	406	268	410	308
peak_219	chr1	22734931	22736077	.	1147	496	1056	1050	602	666	500
peak_220	chr1	22760520	22761241	.	722	440	784	804	652	878	688
peak_221	chr1	22829016	22829883	.	868	558	990	1108	714	928	584
peak_222	chr1	23013757	23014309	.	553	232	400	484	306	362	202
peak_223	chr1	23188436	23189439	.	1004	764	1394	1130	980	1400	846
peak_224	chr1	23215592	23216528	.	937	410	660	612	184	254	138
peak_225	chr1	23393144	23394705	.	1562	968	1702	1574	1026	1254	936
peak_226	chr1	23451620	23452460	.	841	442	868	876	406	452	292
peak_227	chr1	23479000	23479405	.	406	232	366	466	376	402	280
peak_228	chr1	23532504	23533078	.	575	290	372	358	354	482	312
peak_229	chr1	23637328	23637614	.	287	200	376	346	206	358	162
peak_230	chr1	23638260	23638885	.	626	376	678	660	450	544	332
peak_231	chr1	23639209	23640299	.	1091	632	1158	1228	476	492	340
peak_232	chr1	23774110	23774741	.	632	264	462	396	436	496	322
peak_233	chr1	23812035	23812825	.	791	372	668	644	610	706	444
peak_234	chr1	23849103	23849559	.	457	196	278	350	476	612	370
peak_235	chr1	23909494	23909829	.	336	262	352	396	320	374	314
peak_236	chr1	23910724	23911116	.	393	170	244	308	260	308	188
peak_237	chr1	23951557	23952167	.	611	408	582	560	536	538	378
peak_238	chr1	23959055	23959860	.	806	442	1062	1210	450	652	474
peak_239	chr1	24022831	24023384	.	554	340	552	546	438	590	388
peak_240	chr1	24096057	24099448	.	3392	1410	2376	2420	1276	1418	1102
peak_241	chr1	24108400	24109304	.	905	534	1210	1244	598	766	602
peak_242	chr1	24111913	24113043	.	1131	564	1098	1142	680	932	524
peak_243	chr1	24125999	24126979	.	981	394	680	776	610	872	626
peak_244	chr1	24136231	24136707	.	477	292	406	418	436	374	368
peak_245	chr1	24236807	24237148	.	342	362	536	526	420	586	404
peak_246	chr1	24266410	24266857	.	448	296	708	592	500	522	304
peak_247	chr1	24488135	24488702	.	568	160	266	278	324	468	280
peak_248	chr1	24583784	24584696	.	913	374	548	532	416	402	274
peak_249	chr1	24699602	24700100	.	499	214	510	484	444	668	484
peak_250	chr1	24744869	24745917	.	1049	604	2642	2072	714	1142	778
peak_251	chr1	24910833	24911882	.	1050	516	1206	1110	652	964	568
peak_252	chr1	24912470	24912844	.	375	170	414	414	252	372	246
peak_253	chr1	24966132	24966528	.	397	258	576	632	362	388	320
peak_254	chr1	24970201	24971574	.	1374	764	1558	1654	994	1222	818
peak_255	chr1	25003427	25004034	.	608	524	884	914	776	790	544
peak_256	chr1	25022478	25023130	.	653	486	1182	990	552	642	472
peak_257	chr1	25040391	25041542	.	1152	566	976	772	440	432	314
peak_258	chr1	25256293	25256930	.	638	264	404	412	400	448	324
peak_259	chr1	25549230	25550200	.	971	696	1348	1204	590	810	540
peak_260	chr1	25568458	25569212	.	755	466	974	956	650	970	630
peak_261	chr1	25571091	25572473	.	1383	626	1158	1346	458	656	450
peak_262	chr1	25774878	25775730	.	853	474	864	930	482	664	434
peak_263	chr1	25784677	25785201	.	525	322	424	454	240	334	280
peak_264	chr1	26006860	26007364	.	505	298	472	552	348	368	264
peak_265	chr1	26009860	26010356	.	497	308	470	438	442	646	384
peak_266	chr1	26020301	26022894	.	2594	1096	1928	2032	828	936	762
peak_267	chr1	26036257	26036914	.	658	578	1178	1244	820	1114	728
peak_268	chr1	26037437	26039423	.	1987	858	1446	1568	694	774	518
peak_269	chr1	26067355	26067959	.	605	332	520	624	512	704	452
peak_270	chr1	26145130	26146307	.	1178	644	1074	1082	610	614	518
peak_271	chr1	26233624	26234920	.	1297	716	2040	1832	824	1206	774
peak_272	chr1	26288556	26289034	.	479	212	378	430	352	382	252
peak_273	chr1	26289996	26291125	.	1130	556	1344	1216	758	956	734
peak_274	chr1	26378119	26378912	.	794	408	790	868	608	1062	772
peak_275	chr1	26530380	26532270	.	1891	974	1836	1948	908	1034	672
peak_276	chr1	26849208	26850023	.	816	610	1026	1182	792	1018	696
peak_277	chr1	26851240	26851823	.	584	284	676	810	388	532	426
peak_278	chr1	26913361	26914629	.	1269	494	834	894	452	508	318
peak_279	chr1	26938117	26939036	.	920	360	558	664	504	538	388
peak_280	chr1	26991069	26991865	.	797	480	1252	1250	668	852	644
peak_281	chr1	27009175	27010240	.	1066	634	1296	1390	974	1244	870
peak_282	chr1	27012724	27013481	.	758	998	2582	2054	1500	1660	1146
peak_283	chr1	27054442	27054819	.	378	166	316	282	392	424	316
peak_284	chr1	27070021	27071808	.	1788	1030	2108	2332	1470	1852	1144
peak_285	chr1	27072524	27074844	.	2321	1084	2072	1930	1244	1506	1006
peak_286	chr1	27106484	27107173	.	690	356	757	722	582	960	638
peak_287	chr1	27111705	27112837	.	1133	1032	2318	2084	1414	2182	1448
peak_288	chr1	27381178	27381992	.	815	500	1004	1022	606	928	566
peak_289	chr1	27391578	27392538	.	961	580	1370	1342	722	978	670
peak_290	chr1	27521506	27522643	.	1138	612	1106	1068	618	788	552
peak_291	chr1	27538730	27539126	.	397	218	460	394	332	434	232
peak_292	chr1	27541706	27543504	.	1799	1016	1872	1710	1262	1542	1156
peak_293	chr1	27588638	27590087	.	1450	986	1530	1650	974	1188	828
peak_294	chr1	27591009	27591888	.	880	498	894	944	600	794	518
peak_295	chr1	27596424	27597582	.	1159	650	1128	1006	750	1030	652
peak_296	chr1	27624375	27625738	.	1364	1096	1440	1450	1092	1376	1024
peak_297	chr1	27636609	27637437	.	829	446	696	702	440	468	394
peak_298	chr1	27650606	27651146	.	541	446	900	808	576	858	588
peak_299	chr1	27658636	27660262	.	1627	838	1502	1602	820	1168	812
peak_300	chr1	27725557	27725966	.	410	544	1566	1442	692	1044	640
peak_301	chr1	27772958	27773938	.	981	618	1704	1476	680	804	584
peak_302	chr1	27875968	27877301	.	1334	498	822	858	640	682	512
peak_303	chr1	28098783	28099641	.	859	606	878	1002	862	1098	802
peak_304	chr1	28129068	28129526	.	459	302	500	466	296	324	222
peak_305	chr1	28351394	28351780	.	387	220	588	380	350	524	232
peak_306	chr1	28425748	28425976	.	229	64	70	72	208	204	118
peak_307	chr1	28513462	28513915	.	454	134	276	284	384	506	322
peak_308	chr1	28590096	28590578	.	483	172	410	412	446	480	334
peak_309	chr1	28860383	28861064	.	682	296	436	380	472	614	356
peak_310	chr1	28865877	28866626	.	750	372	670	636	626	836	542
peak_311	chr1	28893449	28894049	.	601	368	658	636	426	560	364
peak_312	chr1	28915228	28915690	.	463	276	428	332	240	340	234
peak_313	chr1	29240916	29241451	.	536	352	544	536	430	494	340
peak_314	chr1	29243163	29243750	.	588	422	700	772	574	758	568
peak_315	chr1	29248653	29249889	.	1237	660	1184	1098	1074	1174	954
peak_316	chr1	29254200	29254755	.	556	360	452	536	522	580	418
peak_317	chr1	29256456	29256995	.	540	382	736	692	506	676	518
peak_318	chr1	29316582	29317414	.	833	540	962	1090	760	1092	704
peak_319	chr1	29330192	29330961	.	770	500	620	642	500	650	382
peak_320	chr1	29332365	29332901	.	537	304	418	448	330	368	308
peak_321	chr1	29351394	29351852	.	459	266	474	460	314	474	296
peak_322	chr1	29390441	29392679	.	2239	1250	2164	2092	1016	1096	854
peak_323	chr1	29443888	29445753	.	1866	1028	1466	1480	1010	1264	802
peak_324	chr1	29458654	29460016	.	1363	760	1336	1314	744	972	570
peak_325	chr1	29460129	29460653	.	525	376	726	802	554	732	480
peak_326	chr1	29490306	29490703	.	398	254	496	586	310	366	306
peak_327	chr1	29507207	29507750	.	544	292	532	600	430	522	426
peak_328	chr1	29550112	29550918	.	807	378	858	906	432	574	460
peak_329	chr1	29591970	29593572	.	1603	784	1234	1252	548	562	440
peak_330	chr1	29651877	29652586	.	710	416	826	766	554	776	428
peak_331	chr1	29673711	29674201	.	491	274	428	442	374	482	302
peak_332	chr1	29676318	29676813	.	496	192	338	350	238	320	244
peak_333	chr1	29682168	29682894	.	727	526	902	898	574	794	630
peak_334	chr1	29729490	29731572	.	2083	1218	2162	2090	1368	1532	1148
peak_335	chr1	29744024	29744989	.	966	570	1216	1260	632	914	650
peak_336	chr1	29789350	29790190	.	841	562	1112	1318	784	1282	814
peak_337	chr1	29806523	29807515	.	993	614	842	884	672	960	588
peak_338	chr1	29824458	29825266	.	809	372	630	616	344	340	230
peak_339	chr1	29896886	29898376	.	1491	1036	1606	1636	990	1188	874
peak_340	chr1	29903660	29903973	.	314	160	222	262	414	512	374
peak_341	chr1	29938989	29939465	.	477	130	254	324	246	456	314
peak_342	chr1	30008087	30008955	.	869	492	780	830	714	808	554
peak_343	chr1	30034363	30035264	.	902	476	1120	1036	786	946	658
peak_344	chr1	30037451	30038430	.	980	720	1196	1206	854	1168	670
peak_345	chr1	30082220	30084098	.	1879	676	1106	1094	418	484	338
peak_346	chr1	30100287	30100830	.	544	348	678	684	406	532	386
peak_347	chr1	30101431	30104279	.	2849	1416	2360	2426	1102	1366	916
peak_348	chr1	30144583	30145258	.	676	266	368	394	492	680	402
peak_349	chr1	30194364	30195640	.	1277	456	740	698	332	314	218
peak_350	chr1	30330862	30331948	.	1087	534	900	986	764	806	576
peak_351	chr1	30378945	30380882	.	1938	1010	1970	2116	946	1156	802
peak_352	chr1	30401215	30401942	.	728	196	370	358	442	510	354
peak_353	chr1	30407000	30407734	.	735	410	748	714	334	416	282
peak_354	chr1	30412160	30413023	.	864	654	1160	1156	698	788	586
peak_355	chr1	30511383	30513222	.	1840	972	1486	1518	660	768	582
peak_356	chr1	30521594	30524117	.	2524	1562	3198	3104	2162	2612	1970
peak_357	chr1	30524821	30525253	.	433	328	562	674	316	444	298
peak_358	chr1	30525560	30526698	.	1139	668	1268	1322	666	724	544
peak_359	chr1	30598639	30599414	.	776	550	694	792	542	590	450
peak_360	chr1	30635387	30636707	.	1321	808	1412	1434	902	958	650
peak_361	chr1	30637085	30637558	.	474	290	554	582	392	548	376
