seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	PeakID	log2FoldChange	padj
chr22	24160013	24162753	2741	*	peak_23531	1.61123340447216	2.52106718579034e-45	Exon (ENST00000495121.1/23523, exon 2 of 4)	22	24156533	24164489	7957	1	23523	ENST00000495121.1	3480	ENSG00000099991	CABIN1	calcineurin binding protein 1	NA	NA	NA
chr17	73582829	73585840	3012	*	peak_15198	1.7052592428467	5.95620595156319e-45	Intron (ENST00000392650.8/54549, intron 1 of 44)	17	73334384	73644445	310062	2	54549	ENST00000392650.8	58605	ENSG00000069188	SDK2	sidekick cell adhesion molecule 2	NA	NA	NA
chr22	43295082	43296644	1563	*	peak_24414	2.05604459220297	1.31046172102875e-44	Intron (ENST00000360835.9/80274, intron 3 of 21)	22	43275955	43283830	7876	1	101927447	ENST00000458463.1	19127	ENSG00000203527	SCUBE1-AS1	SCUBE1 antisense RNA 1	NA	NA	NA
chr22	24132996	24134373	1378	*	peak_23522	2.02428176497301	3.73941771701982e-43	Exon (ENST00000263119.10/23523, exon 29 of 37)	22	24155838	24178627	22790	1	23523	ENST00000337989.11	-21465	ENSG00000099991	CABIN1	calcineurin binding protein 1	NA	NA	NA
chr3	47404881	47410340	5460	*	peak_25618	1.27297669725017	8.62151091918226e-43	Promoter	3	47405280	47406750	1471	1	25930	ENST00000477276.2	0	ENSG00000076201	PTPN23	protein tyrosine phosphatase non-receptor type 23	NA	NA	NA
chr17	81128559	81132446	3888	*	peak_15812	1.37180108367852	2.83462138626064e-42	Promoter	17	81110487	81131948	21462	2	9625	ENST00000417379.6	0	ENSG00000181409	AATK	apoptosis associated tyrosine kinase	NA	NA	NA
chr17	58307451	58312764	5314	*	peak_14844	1.11855804628315	5.67499565876035e-42	Promoter	17	58301248	58312216	10969	2	9256	ENST00000580669.6	0	ENSG00000005379	TSPOAP1	TSPO associated protein 1	NA	NA	NA
chr9	129013072	129014236	1165	*	peak_34750	2.58303568070172	8.34135672905606e-42	Promoter	9	129008137	129013950	5814	2	56904	ENST00000461811.5	0	ENSG00000148341	SH3GLB2	SH3 domain containing GRB2 like, endophilin B2	NA	NA	NA
chr8	142151709	142153841	2133	*	peak_33434	1.4233165112001	1.53316405132392e-41	Intron (ENST00000748267.1/105375792, intron 2 of 5)	8	142176339	142176418	80	1	100616268	ENST00000584349.1	-22498	ENSG00000265247	MIR4472-1	microRNA 4472-1	NA	NA	NA
chr10	102615013	102616983	1971	*	peak_4987	1.59774521811766	2.3546962211028e-41	Exon (ENST00000369902.8/51684, exon 9 of 12)	10	102590809	102599543	8735	1	51684	ENST00000471000.1	24204	ENSG00000107882	SUFU	SUFU negative regulator of hedgehog signaling	NA	NA	NA
chr22	20105887	20109124	3238	*	peak_23157	1.22624138549172	8.72733760141689e-41	Promoter	22	20106182	20107575	1394	1	54487	ENST00000495351.1	0	ENSG00000128191	DGCR8	DGCR8 microprocessor complex subunit	NA	NA	NA
chr8	142578697	142580611	1915	*	peak_33533	1.46367624001675	1.98577602429993e-40	Exon (ENST00000687693.2/ENST00000687693.2, exon 1 of 2)	8	142612065	142612702	638	2	23237	ENST00000581404.1	32091	ENSG00000198576	ARC	activity regulated cytoskeleton associated protein	NA	NA	NA
chr17	73541825	73542764	940	*	peak_15193	1.72087637132087	6.12339171629217e-40	Intron (ENST00000392650.8/54549, intron 1 of 44)	17	73513612	73521407	7796	1	101928251	ENST00000583712.2	28213	ENSG00000264985	LOC101928251	uncharacterized LOC101928251	NA	NA	NA
chr22	20992849	20994615	1767	*	peak_23254	1.68136700029	1.35684265976051e-39	Promoter	22	20993348	20998821	5474	1	8216	ENST00000643710.1	0	ENSG00000099949	LZTR1	leucine zipper like post translational regulator 1	NA	NA	NA
chr22	25362576	25364633	2058	*	peak_23612	1.54219194580961	4.19681655822434e-39	Promoter	22	25351418	25362557	11140	2	91355	ENST00000467672.5	-19	ENSG00000290796	LRP5L	LDL receptor related protein 5 like (pseudogene)	NA	NA	NA
chr22	31612835	31615891	3057	*	peak_23847	1.48556051426831	9.54304498747182e-39	Promoter	22	31613835	31618548	4714	1	9814	ENST00000474741.5	0	ENSG00000198089	SFI1	SFI1 centrin binding protein	NA	NA	NA
chr22	19359987	19361917	1931	*	peak_23061	1.42656326694538	1.19730848864554e-38	3' UTR	22	19291969	19328901	36933	1	105372859	ENST00000664918.1	68018	NA	LOC105372859	uncharacterized LOC105372859	NA	NA	NA
chr20	32605881	32608486	2606	*	peak_21515	2.16357108757403	1.2119744284302e-38	Exon (ENST00000375670.1/149950, exon 3 of 3)	20	32587479	32608893	21415	1	149950	ENST00000375670.1	18402	ENSG00000204393	NOL4L-DT	NOL4L divergent transcript	NA	NA	NA
chr11	76281171	76283617	2447	*	peak_7058	1.62599664149325	1.50874181563792e-38	Promoter	11	76284411	76286663	2253	1	105369395	ENST00000721910.1	-794	NA	LOC105369395	uncharacterized LOC105369395	NA	NA	NA
chr2	240687074	240689013	1940	*	peak_20913	2.01946600842799	4.89435528655645e-38	Promoter	2	240686365	240690414	4050	1	285191	ENST00000765068.1	709	NA	LOC285191	uncharacterized LOC285191	NA	NA	NA
chr17	19022092	19023598	1507	*	peak_13820	1.90806147293858	8.70529201404154e-38	3' UTR	17	19017641	19019729	2089	1	125206	ENST00000584658.1	4451	ENSG00000154025	SLC5A10	solute carrier family 5 member 10	NA	NA	NA
chr22	24149649	24150603	955	*	peak_23527	2.06841357296894	2.14850057935808e-37	Intron (ENST00000263119.10/23523, intron 29 of 36)	22	24155838	24178627	22790	1	23523	ENST00000337989.11	-5235	ENSG00000099991	CABIN1	calcineurin binding protein 1	NA	NA	NA
chr17	50658368	50659618	1251	*	peak_14711	2.04791882688836	3.39093451275632e-37	Promoter	17	50658143	50663855	5713	1	8714	ENST00000515585.1	225	ENSG00000108846	ABCC3	ATP binding cassette subfamily C member 3	NA	NA	NA
chr8	141473818	141476556	2739	*	peak_33281	1.29809670403412	4.70757795935195e-37	3' UTR	8	141494911	141496759	1849	2	389690	ENST00000521161.5	20203	ENSG00000226807	MROH5	maestro heat like repeat family member 5 (gene/pseudogene)	NA	NA	NA
chr8	141597830	141599869	2040	*	peak_33310	1.35486144493978	4.70757795935195e-37	Intron (ENST00000673717.1/ENST00000673717.1, intron 2 of 8)	8	141514671	141518729	4059	1	122455339	ENST00000643770.2	83159	ENSG00000226490	C8orf90	chromosome 8 open reading frame 90	NA	NA	NA
chr7	44977366	44979091	1726	*	peak_31127	1.9520761937583	6.46648920139826e-37	Promoter	7	44962662	44979015	16354	2	64005	ENST00000258787.12	0	ENSG00000136286	MYO1G	myosin IG	NA	NA	NA
chr16	1435801	1436982	1182	*	peak_11620	2.24665800994122	2.24765696287522e-36	Promoter	16	1434388	1435308	921	2	645811	ENST00000463299.2	-493	ENSG00000197599	CCDC154	coiled-coil domain containing 154	NA	NA	NA
chr22	39427751	39429450	1700	*	peak_24189	1.93819004309686	2.90438502284651e-36	Exon (ENST00000216160.11/10454, exon 10 of 11)	22	39432431	39437060	4630	1	100506472	ENST00000488859.1	-2981	NA	LOC100506472	uncharacterized LOC100506472	NA	NA	NA
chr10	71450303	71452638	2336	*	peak_4316	1.2891467891933	4.30929185792901e-36	Intron (ENST00000224721.12/64072, intron 3 of 69)	10	71439832	71717907	278076	1	64072	ENST00000442677.4	10471	ENSG00000107736	CDH23	cadherin related 23	NA	NA	NA
chr22	19356065	19358094	2030	*	peak_23059	1.34754823570582	1.25616326076632e-35	3' UTR	22	19291969	19328901	36933	1	105372859	ENST00000664918.1	64096	NA	LOC105372859	uncharacterized LOC105372859	NA	NA	NA
chr8	141447617	141452333	4717	*	peak_33278	1.09178786714174	1.49166994140509e-35	Promoter	8	141447475	141447549	75	1	124900270	ENST00000458800.1	142	ENSG00000238854	LOC124900270	small nucleolar RNA SNORD5	NA	NA	NA
chr8	144039248	144042280	3033	*	peak_33742	1.20513625270154	1.67438600205353e-35	Exon (ENST00000377470.8/375686, exon 2 of 5)	8	144049079	144051203	2125	1	392275	ENST00000639008.2	-6799	NA	SMPD5	sphingomyelin phosphodiesterase 5 (pseudogene)	NA	NA	NA
chr17	82156448	82158205	1758	*	peak_15933	2.02820896221207	1.6950317093013e-35	3' UTR	17	82111986	82152299	40314	2	284001	ENST00000392346.6	-4149	ENSG00000176155	CCDC57	coiled-coil domain containing 57	NA	NA	NA
chr17	79191258	79192339	1082	*	peak_15623	2.2696496908054	1.99922195742677e-35	Intron (ENST00000583458.5/146713, intron 3 of 13)	17	79183501	79186282	2782	1	124904069	ENST00000727251.1	7757	ENSG00000295009	LOC124904069	uncharacterized LOC124904069	NA	NA	NA
chr17	75612525	75616810	4286	*	peak_15412	1.39688832710994	2.38713000473426e-35	Promoter	17	75613193	75626121	12929	1	80022	ENST00000704641.1	0	ENSG00000266714	MYO15B	myosin XVB	NA	NA	NA
chr8	142223987	142228706	4720	*	peak_33455	1.07650804209114	2.65008365156191e-35	Intron (ENST00000524325.6/203062, intron 13 of 13)	8	142204636	142209003	4368	1	619434	ENST00000794970.1	19351	ENSG00000254008	LINC00051	long intergenic non-protein coding RNA 51	NA	NA	NA
chr8	143437138	143439092	1955	*	peak_33671	2.0664172853846	2.65008365156191e-35	3' UTR	8	143428064	143430732	2669	2	389692	ENST00000333480.3	-6406	ENSG00000182759	MAFA	MAF bZIP transcription factor A	NA	NA	NA
chr8	141329148	141331369	2222	*	peak_33249	1.51676045941382	4.94728068990479e-35	Distal Intergenic	8	141340505	141344623	4119	1	731779	ENST00000521073.7	-9136	ENSG00000253595	LINC01300	long intergenic non-protein coding RNA 1300	NA	NA	NA
chr10	86328631	86332186	3556	*	peak_4737	1.24514759779596	6.74309332355361e-35	Intron (ENST00000327946.12/2894, intron 2 of 15)	10	85601994	86366493	764500	2	2894	ENST00000464741.2	34307	ENSG00000182771	GRID1	glutamate ionotropic receptor delta type subunit 1	NA	NA	NA
chr15	74611273	74613468	2196	*	peak_10905	1.60078989285738	6.74309332355361e-35	Promoter	15	74598921	74610553	11633	2	102723750	ENST00000772850.1	-720	NA	CLK3-AS1	CLK3 antisense RNA 1	NA	NA	NA
chr17	63529590	63532485	2896	*	peak_14938	1.21565573847534	7.69844879063856e-35	3' UTR	17	63523403	63546727	23325	1	81033	ENST00000583023.1	6187	ENSG00000173826	KCNH6	potassium voltage-gated channel subfamily H member 6	NA	NA	NA
chr17	75572663	75574721	2059	*	peak_15407	1.79125251968713	7.69844879063856e-35	Promoter	17	75573555	75574921	1367	1	3993	ENST00000583514.5	0	ENSG00000073350	LLGL2	LLGL scribble cell polarity complex component 2	NA	NA	NA
chr22	38731070	38733482	2413	*	peak_24138	1.87335988736114	7.69844879063856e-35	Promoter	22	38730613	38736184	5572	1	9567	ENST00000484971.1	457	ENSG00000100226	GTPBP1	GTP binding protein 1	NA	NA	NA
chr2	64622451	64623824	1374	*	peak_19028	1.75504681379389	1.05998096137027e-34	Distal Intergenic	2	64607334	64616556	9223	1	339807	ENST00000417695.3	15117	ENSG00000233694	LINC02579	long intergenic non-protein coding RNA 2579	NA	NA	NA
chr3	47418602	47421395	2794	*	peak_25619	1.39886601399843	3.20791485540926e-34	Promoter	3	47420619	47421365	747	2	22937	ENST00000465628.1	0	ENSG00000114650	SCAP	SREBF chaperone	NA	NA	NA
chr7	6528110	6529268	1159	*	peak_30831	1.84589328100713	3.20791485540926e-34	Intron (ENST00000457091.3/392862, intron 2 of 21)	7	6497727	6531186	33460	2	392862	ENST00000435185.5	1918	ENSG00000215045	GRID2IP	Grid2 interacting protein	NA	NA	NA
chr9	134225977	134228856	2880	*	peak_34906	1.70903241332533	3.36380750161733e-34	Promoter	9	134218165	134226296	8132	2	107987039	ENST00000729186.1	0	NA	LOC107987039	uncharacterized LOC107987039	NA	NA	NA
chr16	2082830	2087447	4618	*	peak_11687	1.37613561239616	4.05072822547825e-34	Promoter	16	2083190	2086871	3682	1	7249	ENST00000642728.1	0	ENSG00000103197	TSC2	TSC complex subunit 2	NA	NA	NA
chr20	33657676	33661518	3843	*	peak_21581	1.31617701610488	4.22124326239673e-34	Promoter	20	33657087	33659547	2461	2	63941	ENST00000477778.5	0	ENSG00000125967	NECAB3	N-terminal EF-hand calcium binding protein 3	NA	NA	NA
chr22	21915708	21918417	2710	*	peak_23290	1.69966556752228	8.96589986615042e-34	Distal Intergenic	22	21923125	21926062	2938	2	9647	ENST00000496143.5	7645	ENSG00000100034	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F	NA	NA	NA
chr22	37734210	37735855	1646	*	peak_24083	2.31354662669675	9.6090931636784e-34	3' UTR	22	37744310	37746075	1766	2	102724378	ENST00000825468.1	10220	NA	LOC102724378	uncharacterized LOC102724378	NA	NA	NA
chr7	1487507	1489717	2211	*	peak_30634	1.87897593503511	9.93730631803819e-34	Exon (ENST00000404767.8/26173, exon 17 of 48)	7	1482278	1493867	11590	2	26173	ENST00000468115.1	4150	ENSG00000164880	INTS1	integrator complex subunit 1	NA	NA	NA
chr17	82386240	82387420	1181	*	peak_15963	2.42966497623962	1.48908346983285e-33	Promoter	17	82386510	82387688	1179	1	124904092	ENST00000838005.1	0	ENSG00000309042	LOC124904092	uncharacterized LOC124904092	NA	NA	NA
chr22	31139711	31142279	2569	*	peak_23842	1.45374093335732	1.88341590861896e-33	Promoter	22	31134807	31140508	5702	2	50487	ENST00000215885.4	0	ENSG00000100078	PLA2G3	phospholipase A2 group III	NA	NA	NA
chr3	49647795	49650331	2537	*	peak_25740	1.34466561884917	2.30796927069531e-33	Intron (ENST00000296452.5/8927, intron 3 of 11)	3	49643029	49651349	8321	1	8927	ENST00000467456.1	4766	ENSG00000164061	BSN	bassoon presynaptic cytomatrix protein	NA	NA	NA
chr1	31813905	31815654	1750	*	peak_1255	1.88740326359462	4.00428492892115e-33	Promoter	1	31790483	31815375	24893	2	90853	ENST00000533231.5	0	ENSG00000134668	SPOCD1	SPOC domain containing 1	NA	NA	NA
chr17	39651955	39654033	2079	*	peak_14222	1.44815916602642	4.14718628427668e-33	Promoter	17	39652489	39657052	4564	1	10948	ENST00000580331.5	0	ENSG00000131748	STARD3	StAR related lipid transfer domain containing 3	NA	NA	NA
chr20	62412083	62414440	2358	*	peak_22312	1.70197071106354	4.61190446740555e-33	Exon (ENST00000252998.2/140893, exon 10 of 14)	20	62388634	62407285	18652	2	81928	ENST00000279101.10	-4798	ENSG00000149679	CABLES2	Cdk5 and Abl enzyme substrate 2	NA	NA	NA
chr8	141930597	141932250	1654	*	peak_33385	1.3605935537158	4.71487952665812e-33	Distal Intergenic	8	141992087	141997552	5466	1	124902047	ENST00000722295.1	-59837	ENSG00000294265	LOC124902047	uncharacterized LOC124902047	NA	NA	NA
chr8	143524196	143530757	6562	*	peak_33687	1.17488516731348	4.71487952665812e-33	Intron (ENST00000262577.6/23144, intron 3 of 11)	8	143437659	143541447	103789	2	23144	ENST00000262577.6	10690	ENSG00000014164	ZC3H3	zinc finger CCCH-type containing 3	NA	NA	NA
chr11	69059465	69061385	1921	*	peak_6718	1.62819961732799	5.4572015384711e-33	Intron (ENST00000294309.8/219931, intron 5 of 24)	11	69055162	69090604	35443	1	219931	ENST00000442692.2	4303	ENSG00000162341	TPCN2	two pore segment channel 2	NA	NA	NA
chr16	2070582	2074971	4390	*	peak_11686	1.85078090533513	8.75470057539542e-33	Promoter	16	2071389	2088577	17189	1	7249	ENST00000645024.1	0	ENSG00000103197	TSC2	TSC complex subunit 2	NA	NA	NA
chr3	126432932	126435406	2475	*	peak_26424	1.42913774486856	8.75470057539542e-33	Promoter	3	126432796	126434569	1774	2	124906280	ENST00000624121.1	0	ENSG00000279328	LOC124906280	uncharacterized LOC124906280	NA	NA	NA
chr17	60156593	60157633	1041	*	peak_14888	1.77201446584528	1.09107918502612e-32	Promoter	17	60157732	60159546	1815	1	762	ENST00000590203.1	-99	ENSG00000167434	CA4	carbonic anhydrase 4	NA	NA	NA
chr20	63294340	63296808	2469	*	peak_22474	1.20327734209104	1.75669900731228e-32	Promoter	20	63295040	63334851	39812	1	57642	ENST00000422202.5	0	ENSG00000101203	COL20A1	collagen type XX alpha 1 chain	NA	NA	NA
chr3	52059031	52060672	1642	*	peak_25946	1.46799427555559	2.57312106886907e-32	Distal Intergenic	3	52048919	52056571	7653	2	1849	ENST00000495880.2	-2460	ENSG00000164086	DUSP7	dual specificity phosphatase 7	NA	NA	NA
chr17	74403499	74404709	1211	*	peak_15278	1.63831663617272	3.05024958249075e-32	Distal Intergenic	17	74424851	74440212	15362	1	55890	ENST00000582444.1	-20142	ENSG00000170412	GPRC5C	G protein-coupled receptor class C group 5 member C	NA	NA	NA
chr8	142798584	142800811	2228	*	peak_33575	1.86685644320665	3.21064468704873e-32	Intron (ENST00000510610.2/ENST00000510610.2, intron 2 of 2)	8	142784882	142786539	1658	2	8581	ENST00000301263.5	-12045	ENSG00000167656	LY6D	lymphocyte antigen 6 family member D	NA	NA	NA
chr14	73802309	73803122	814	*	peak_9769	2.04918474893021	6.83060094246779e-32	Exon (ENST00000702221.2/100506476, exon 3 of 3)	14	73740031	73790285	50255	2	91748	ENST00000486739.1	-12024	ENSG00000156030	MIDEAS	mitotic deacetylase associated SANT domain protein	NA	NA	NA
chr17	79094910	79096904	1995	*	peak_15602	1.38447035409882	7.92567870034714e-32	Promoter	17	79091947	79096693	4747	2	146713	ENST00000582880.6	0	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	NA	NA	NA
chr22	48751968	48753603	1636	*	peak_24777	1.55195961786372	7.92567870034714e-32	Intron (ENST00000336769.9/25817, intron 3 of 3)	22	48780295	48780353	59	1	100616415	ENST00000580946.1	-26692	ENSG00000266887	MIR4535	microRNA 4535	NA	NA	NA
chr17	79104945	79106579	1635	*	peak_15604	1.6480150430982	8.30537017259972e-32	Intron (ENST00000583458.5/146713, intron 5 of 13)	17	79090847	79100410	9564	2	146713	ENST00000578998.1	-4535	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	NA	NA	NA
chr11	1853462	1857170	3709	*	peak_5657	1.38627678565228	1.03752068462386e-31	Promoter	11	1853084	1892263	39180	1	4046	ENST00000311604.8	378	ENSG00000130592	LSP1	lymphocyte specific protein 1	NA	NA	NA
chr22	47057785	47059420	1636	*	peak_24699	1.62541307448005	1.17067931673964e-31	Intron (ENST00000380995.5/25771, intron 12 of 13)	22	47115838	47117215	1378	2	124905139	ENST00000639527.1	57795	NA	LOC124905139	uncharacterized protein UNQ6126/PRO20091	NA	NA	NA
chrX	153489844	153492322	2479	*	peak_35331	1.82085073691132	1.30549195209569e-31	Intron (ENST00000370210.3/55559, intron 1 of 5)	23	153494980	153509546	14567	1	633	ENST00000331595.9	-2658	ENSG00000182492	BGN	biglycan	NA	NA	NA
chr3	52018682	52020040	1359	*	peak_25937	1.83741327867408	1.61300441067265e-31	Distal Intergenic	3	51994935	51995895	961	2	6159	ENST00000486565.1	-22787	ENSG00000162244	RPL29	ribosomal protein L29	NA	NA	NA
chr16	2986625	2992386	5762	*	peak_11771	1.32567467421689	1.70871051748708e-31	Promoter	16	2988256	3002016	13761	1	283875	ENST00000573315.2	0	ENSG00000262152	GREP1	glycine rich extracellular protein 1	NA	NA	NA
chr16	20610006	20615254	5249	*	peak_12173	1.22509217329982	2.07449229356333e-31	Promoter	16	20610243	20775920	165678	1	6296	ENST00000568235.5	0	ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3	NA	NA	NA
chr22	19998664	20000718	2055	*	peak_23140	1.20472124519757	2.07449229356333e-31	Intron (ENST00000263207.8/421, intron 2 of 19)	22	19971228	19990794	19567	2	421	ENST00000406259.1	-7870	ENSG00000099889	ARVCF	ARVCF delta catenin family member	NA	NA	NA
chr8	144328185	144330557	2373	*	peak_33776	1.34480336920449	2.07449229356333e-31	Distal Intergenic	8	144316325	144326910	10586	2	8694	ENST00000332324.5	-1275	ENSG00000185000	DGAT1	diacylglycerol O-acyltransferase 1	NA	NA	NA
chr1	54260251	54261279	1029	*	peak_2001	2.12799672695556	2.26280141313754e-31	Intron (ENST00000610401.6/23648, intron 5 of 17)	1	54239096	54257266	18171	2	23648	ENST00000420121.5	-2985	ENSG00000157216	SSBP3	single stranded DNA binding protein 3	NA	NA	NA
chr1	25054512	25056958	2447	*	peak_882	1.98121861721638	2.34702839703854e-31	Intron (ENST00000789033.1/ENST00000789033.1, intron 1 of 1)	1	25041136	25047404	6269	1	105376879	ENST00000648363.1	13376	NA	LINC02793	long intergenic non-protein coding RNA 2793	NA	NA	NA
chr2	240743664	240746708	3045	*	peak_20924	1.5711766058841	2.34702839703854e-31	Promoter	2	240713816	240744687	30872	2	547	ENST00000492812.6	0	ENSG00000130294	KIF1A	kinesin family member 1A	NA	NA	NA
chr15	69576866	69578022	1157	*	peak_10753	1.88883051043865	2.89589064440001e-31	Intron (ENST00000674319.2/145837, intron 6 of 8)	15	69570785	69633371	62587	1	104472713	ENST00000643306.1	6081	ENSG00000245750	PCAT29	prostate cancer associated transcript 29	NA	NA	NA
chr8	143573795	143576676	2882	*	peak_33694	1.2357485922993	2.89589064440001e-31	Promoter	8	143574785	143575323	539	2	93100	ENST00000529179.1	0	ENSG00000147813	NAPRT	nicotinate phosphoribosyltransferase	NA	NA	NA
chr7	1843766	1845422	1657	*	peak_30659	1.78657065284722	3.07034113420506e-31	Promoter	7	1845300	1849931	4632	1	100127955	ENST00000480694.2	0	NA	LOC100127955	uncharacterized LOC100127955	NA	NA	NA
chr2	26612512	26614071	1560	*	peak_18577	1.81602038371502	3.24727709313772e-31	Intron (ENST00000288861.5/130106, intron 3 of 6)	2	26581207	26605563	24357	2	130106	ENST00000403670.7	-6949	ENSG00000157884	CIB4	calcium and integrin binding family member 4	NA	NA	NA
chr3	126421497	126423569	2073	*	peak_26423	1.48761552083197	3.57085044794726e-31	Exon (ENST00000352312.6/348807, exon 12 of 17)	3	126419766	126420850	1085	1	348807	ENST00000507830.1	1731	ENSG00000163885	CFAP100	cilia and flagella associated protein 100	NA	NA	NA
chr8	143471895	143474626	2732	*	peak_33675	1.24933146362089	4.43342629064154e-31	Intron (ENST00000262577.6/23144, intron 5 of 11)	8	143484497	143507840	23344	2	23144	ENST00000528401.1	33214	ENSG00000014164	ZC3H3	zinc finger CCCH-type containing 3	NA	NA	NA
chr11	70499870	70501920	2051	*	peak_6822	1.64580769802392	6.54490699305504e-31	Exon (ENST00000601538.6/22941, exon 21 of 26)	11	70469435	70487720	18286	2	22941	ENST00000654939.1	-12150	ENSG00000162105	SHANK2	SH3 and multiple ankyrin repeat domains 2	NA	NA	NA
chr1	53274606	53276359	1754	*	peak_1915	2.1422180815761	6.65752281867434e-31	Promoter	1	53264216	53276707	12492	2	7804	ENST00000475501.2	348	ENSG00000157193	LRP8	LDL receptor related protein 8	NA	NA	NA
chr22	21022459	21023923	1465	*	peak_23261	1.83039938096467	9.64835695232703e-31	Promoter	22	21023349	21026597	3249	1	9127	ENST00000487342.1	0	ENSG00000099957	P2RX6	purinergic receptor P2X 6	NA	NA	NA
chr1	201250528	201252553	2026	*	peak_2953	1.46426381862873	1.01801290078615e-30	Distal Intergenic	1	201283452	201332993	49542	1	5317	ENST00000263946.7	-30899	ENSG00000081277	PKP1	plakophilin 1	NA	NA	NA
chr12	122987768	122992282	4515	*	peak_8590	1.32011016547984	1.07858185024271e-30	Exon (ENST00000280562.9/57605, exon 16 of 25)	12	122981953	122982908	956	1	51329	ENST00000536073.1	5815	ENSG00000182196	ARL6IP4	ARF like GTPase 6 interacting protein 4	NA	NA	NA
chr10	79254190	79255569	1380	*	peak_4599	1.55993054491794	1.20592584797512e-30	Intron (ENST00000334512.10/57178, intron 7 of 24)	10	79243669	79291085	47417	1	57178	ENST00000472035.5	10521	ENSG00000108175	ZMIZ1	zinc finger MIZ-type containing 1	NA	NA	NA
chr20	62764649	62766401	1753	*	peak_22384	1.44367171044681	1.24653863915125e-30	Distal Intergenic	20	62756631	62762771	6141	1	4923	ENST00000482259.1	8018	ENSG00000101188	NTSR1	neurotensin receptor 1	NA	NA	NA
chr17	81259003	81261419	2417	*	peak_15829	1.68507627997664	1.3262671092118e-30	Exon (ENST00000374759.8/124565, exon 11 of 16)	17	81246178	81252273	6096	2	124565	ENST00000540966.5	-6730	ENSG00000157637	SLC38A10	solute carrier family 38 member 10	NA	NA	NA
